Bill_ID,Consumer_ID,Billing_Month,Units,Amount,Due_Date,Payment_Status,Arrear_Amount
BL0000095,CON00008,November 2025,3248,30856.0,2025-11-27,Paid,0.0
BL0000096,CON00008,December 2025,2517,23911.5,2025-12-28,Paid,0.0
BL0000097,CON00009,January 2025,729,5467.5,2025-01-21,Paid,0.0
BL0000098,CON00009,February 2025,605,4537.5,2025-02-21,Paid,0.0
BL0000099,CON00009,March 2025,742,5565.0,2025-03-24,Unpaid,5565.0
BL0000100,CON00009,April 2025,316,2370.0,2025-04-24,Paid,0.0
BL0000101,CON00009,May 2025,533,3997.5,2025-05-25,Paid,0.0
BL0000102,CON00009,June 2025,514,3855.0,2025-06-25,Paid,0.0
BL0000103,CON00009,July 2025,571,4282.5,2025-07-26,Paid,0.0
BL0000104,CON00009,August 2025,847,6352.5,2025-08-26,Paid,0.0
BL0000105,CON00009,September 2025,599,4492.5,2025-09-26,Paid,0.0
BL0000106,CON00009,October 2025,482,3615.0,2025-10-27,Paid,0.0
BL0000107,CON00009,November 2025,623,4672.5,2025-11-27,Paid,0.0
BL0000108,CON00009,December 2025,782,5865.0,2025-12-28,Paid,0.0
BL0000109,CON00010,January 2025,678,5085.0,2025-01-21,Paid,0.0
BL0000110,CON00010,February 2025,395,2962.5,2025-02-21,Paid,0.0
BL0000111,CON00010,March 2025,569,4267.5,2025-03-24,Paid,0.0
BL0000112,CON00010,April 2025,433,3247.5,2025-04-24,Paid,0.0
BL0000113,CON00010,May 2025,742,5565.0,2025-05-25,Paid,0.0
BL0000114,CON00010,June 2025,759,5692.5,2025-06-25,Unpaid,5692.5
BL0000115,CON00010,July 2025,651,4882.5,2025-07-26,Paid,0.0
BL0000116,CON00010,August 2025,631,4732.5,2025-08-26,Paid,0.0
BL0000117,CON00010,September 2025,623,4672.5,2025-09-26,Paid,0.0
BL0000118,CON00010,October 2025,705,5287.5,2025-10-27,Paid,0.0
BL0000119,CON00010,November 2025,501,3757.5,2025-11-27,Paid,0.0
BL0000120,CON00010,December 2025,502,3765.0,2025-12-28,Paid,0.0
BL0000121,CON00011,January 2025,99,445.5,2025-01-21,Paid,0.0
BL0000122,CON00011,February 2025,147,661.5,2025-02-21,Paid,0.0
BL0000123,CON00011,March 2025,187,841.5,2025-03-24,Paid,0.0
BL0000124,CON00011,April 2025,152,684.0,2025-04-24,Paid,0.0
BL0000125,CON00011,May 2025,205,922.5,2025-05-25,Unpaid,922.5
BL0000126,CON00011,June 2025,124,558.0,2025-06-25,Paid,0.0
BL0000127,CON00011,July 2025,148,666.0,2025-07-26,Paid,0.0
BL0000128,CON00011,August 2025,117,526.5,2025-08-26,Paid,0.0
BL0000129,CON00011,September 2025,174,783.0,2025-09-26,Paid,0.0
BL0000130,CON00011,October 2025,170,765.0,2025-10-27,Paid,0.0
BL0000131,CON00011,November 2025,96,432.0,2025-11-27,Paid,0.0
BL0000132,CON00011,December 2025,147,661.5,2025-12-28,Unpaid,661.5
BL0000133,CON00012,January 2025,51,25.5,2025-01-21,Paid,0.0
BL0000134,CON00012,February 2025,57,28.5,2025-02-21,Paid,0.0
BL0000135,CON00012,March 2025,54,27.0,2025-03-24,Paid,0.0
BL0000136,CON00012,April 2025,62,31.0,2025-04-24,Paid,0.0
BL0000137,CON00012,May 2025,67,33.5,2025-05-25,Unpaid,33.5
BL0000138,CON00012,June 2025,49,24.5,2025-06-25,Paid,0.0
BL0000139,CON00012,July 2025,33,16.5,2025-07-26,Paid,0.0
BL0000140,CON00012,August 2025,36,18.0,2025-08-26,Paid,0.0
BL0000141,CON00012,September 2025,42,21.0,2025-09-26,Paid,0.0
BL0000142,CON00012,October 2025,44,22.0,2025-10-27,Paid,0.0
BL0000143,CON00012,November 2025,57,28.5,2025-11-27,Paid,0.0
BL0000144,CON00012,December 2025,55,27.5,2025-12-28,Paid,0.0
BL0000145,CON00013,January 2025,430,3225.0,2025-01-21,Paid,0.0
BL0000146,CON00013,February 2025,524,3930.0,2025-02-21,Paid,0.0
BL0000147,CON00013,March 2025,693,5197.5,2025-03-24,Paid,0.0
BL0000148,CON00013,April 2025,656,4920.0,2025-04-24,Paid,0.0
BL0000149,CON00013,May 2025,301,2257.5,2025-05-25,Paid,0.0
BL0000150,CON00013,June 2025,736,5520.0,2025-06-25,Paid,0.0
BL0000151,CON00013,July 2025,643,4822.5,2025-07-26,Paid,0.0
BL0000152,CON00013,August 2025,689,5167.5,2025-08-26,Paid,0.0
BL0000153,CON00013,September 2025,602,4515.0,2025-09-26,Paid,0.0
BL0000154,CON00013,October 2025,821,6157.5,2025-10-27,Paid,0.0
BL0000155,CON00013,November 2025,677,5077.5,2025-11-27,Paid,0.0
BL0000156,CON00013,December 2025,584,4380.0,2025-12-28,Paid,0.0
BL0000157,CON00014,January 2025,119,535.5,2025-01-21,Paid,0.0
BL0000158,CON00014,February 2025,118,531.0,2025-02-21,Paid,0.0
BL0000159,CON00014,March 2025,172,774.0,2025-03-24,Paid,0.0
BL0000160,CON00014,April 2025,141,634.5,2025-04-24,Paid,0.0
BL0000161,CON00014,May 2025,167,751.5,2025-05-25,Paid,0.0
BL0000162,CON00014,June 2025,165,742.5,2025-06-25,Paid,0.0
BL0000163,CON00014,July 2025,168,756.0,2025-07-26,Paid,0.0
BL0000164,CON00014,August 2025,173,778.5,2025-08-26,Unpaid,778.5
BL0000165,CON00014,September 2025,169,760.5,2025-09-26,Paid,0.0
BL0000166,CON00014,October 2025,197,886.5,2025-10-27,Paid,0.0
BL0000167,CON00014,November 2025,128,576.0,2025-11-27,Paid,0.0
BL0000168,CON00014,December 2025,146,657.0,2025-12-28,Paid,0.0
BL0000169,CON00015,January 2025,154,693.0,2025-01-21,Paid,0.0
BL0000170,CON00015,February 2025,163,733.5,2025-02-21,Paid,0.0
BL0000171,CON00015,March 2025,183,823.5,2025-03-24,Unpaid,823.5
BL0000172,CON00015,April 2025,162,729.0,2025-04-24,Paid,0.0
BL0000173,CON00015,May 2025,173,778.5,2025-05-25,Paid,0.0
BL0000174,CON00015,June 2025,45,202.5,2025-06-25,Paid,0.0
BL0000175,CON00015,July 2025,49,220.5,2025-07-26,Paid,0.0
BL0000176,CON00015,August 2025,46,207.0,2025-08-26,Paid,0.0
BL0000177,CON00015,September 2025,35,157.5,2025-09-26,Paid,0.0
BL0000178,CON00015,October 2025,45,202.5,2025-10-27,Paid,0.0
BL0000179,CON00015,November 2025,39,175.5,2025-11-27,Paid,0.0
BL0000180,CON00015,December 2025,46,207.0,2025-12-28,Paid,0.0
BL0000181,CON00016,January 2025,133,598.5,2025-01-21,Paid,0.0
BL0000182,CON00016,February 2025,151,679.5,2025-02-21,Paid,0.0
BL0000183,CON00016,March 2025,140,630.0,2025-03-24,Paid,0.0
BL0000184,CON00016,April 2025,118,531.0,2025-04-24,Unpaid,531.0
BL0000185,CON00016,May 2025,202,909.0,2025-05-25,Paid,0.0
BL0000186,CON00016,June 2025,137,616.5,2025-06-25,Paid,0.0
BL0000187,CON00016,July 2025,163,733.5,2025-07-26,Unpaid,733.5
BL0000188,CON00016,August 2025,124,558.0,2025-08-26,Paid,0.0
BL0000189,CON00016,September 2025,102,459.0,2025-09-26,Paid,0.0
BL0000190,CON00016,October 2025,189,850.5,2025-10-27,Paid,0.0
BL0000191,CON00016,November 2025,151,679.5,2025-11-27,Paid,0.0
BL0000192,CON00016,December 2025,109,490.5,2025-12-28,Paid,0.0
BL0000193,CON00017,January 2025,102,459.0,2025-01-21,Paid,0.0
BL0000194,CON00017,February 2025,220,990.0,2025-02-21,Paid,0.0
BL0000195,CON00017,March 2025,147,661.5,2025-03-24,Paid,0.0
BL0000196,CON00017,April 2025,182,819.0,2025-04-24,Paid,0.0
BL0000197,CON00017,May 2025,108,486.0,2025-05-25,Paid,0.0
BL0000198,CON00017,June 2025,182,819.0,2025-06-25,Paid,0.0
BL0000199,CON00017,July 2025,156,702.0,2025-07-26,Paid,0.0
BL0000200,CON00017,August 2025,108,486.0,2025-08-26,Paid,0.0
BL0000201,CON00017,September 2025,148,666.0,2025-09-26,Paid,0.0
BL0000202,CON00017,October 2025,136,612.0,2025-10-27,Paid,0.0
BL0000203,CON00017,November 2025,130,585.0,2025-11-27,Paid,0.0
BL0000204,CON00017,December 2025,154,693.0,2025-12-28,Paid,0.0
BL0000205,CON00018,January 2025,125,562.5,2025-01-21,Paid,0.0
BL0000206,CON00018,February 2025,127,571.5,2025-02-21,Paid,0.0
BL0000207,CON00018,March 2025,190,855.0,2025-03-24,Paid,0.0
BL0000208,CON00018,April 2025,134,603.0,2025-04-24,Paid,0.0
BL0000209,CON00018,May 2025,181,814.5,2025-05-25,Paid,0.0
BL0000210,CON00018,June 2025,145,652.5,2025-06-25,Paid,0.0
BL0000211,CON00018,July 2025,206,927.0,2025-07-26,Paid,0.0
BL0000212,CON00018,August 2025,85,382.5,2025-08-26,Paid,0.0
BL0000213,CON00018,September 2025,140,630.0,2025-09-26,Paid,0.0
BL0000214,CON00018,October 2025,148,666.0,2025-10-27,Paid,0.0
BL0000215,CON00018,November 2025,210,945.0,2025-11-27,Paid,0.0
BL0000216,CON00018,December 2025,114,513.0,2025-12-28,Paid,0.0
BL0000217,CON00019,January 2025,164,738.0,2025-01-21,Unpaid,738.0
BL0000218,CON00019,February 2025,175,787.5,2025-02-21,Paid,0.0
BL0000219,CON00019,March 2025,185,832.5,2025-03-24,Paid,0.0
BL0000220,CON00019,April 2025,150,675.0,2025-04-24,Paid,0.0
BL0000221,CON00019,May 2025,119,535.5,2025-05-25,Paid,0.0
BL0000222,CON00019,June 2025,159,715.5,2025-06-25,Paid,0.0
BL0000223,CON00019,July 2025,107,481.5,2025-07-26,Paid,0.0
BL0000224,CON00019,August 2025,202,909.0,2025-08-26,Unpaid,909.0
BL0000225,CON00019,September 2025,142,639.0,2025-09-26,Paid,0.0
BL0000226,CON00019,October 2025,108,486.0,2025-10-27,Paid,0.0
BL0000227,CON00019,November 2025,152,684.0,2025-11-27,Paid,0.0
BL0000228,CON00019,December 2025,143,643.5,2025-12-28,Paid,0.0
BL0000229,CON00020,January 2025,156,702.0,2025-01-21,Paid,0.0
BL0000230,CON00020,February 2025,133,598.5,2025-02-21,Paid,0.0
BL0000231,CON00020,March 2025,205,922.5,2025-03-24,Paid,0.0
BL0000232,CON00020,April 2025,145,652.5,2025-04-24,Paid,0.0
BL0000233,CON00020,May 2025,171,769.5,2025-05-25,Paid,0.0
BL0000234,CON00020,June 2025,132,594.0,2025-06-25,Paid,0.0
BL0000235,CON00020,July 2025,198,891.0,2025-07-26,Unpaid,891.0
BL0000236,CON00020,August 2025,125,562.5,2025-08-26,Paid,0.0
BL0000237,CON00020,September 2025,155,697.5,2025-09-26,Paid,0.0
BL0000238,CON00020,October 2025,182,819.0,2025-10-27,Paid,0.0
BL0000239,CON00020,November 2025,135,607.5,2025-11-27,Paid,0.0
BL0000240,CON00020,December 2025,124,558.0,2025-12-28,Paid,0.0
BL0000241,CON00021,January 2025,397,2977.5,2025-01-21,Paid,0.0
BL0000242,CON00021,February 2025,672,5040.0,2025-02-21,Paid,0.0
BL0000243,CON00021,March 2025,760,5700.0,2025-03-24,Paid,0.0
BL0000244,CON00021,April 2025,655,4912.5,2025-04-24,Paid,0.0
BL0000245,CON00021,May 2025,437,3277.5,2025-05-25,Paid,0.0
BL0000246,CON00021,June 2025,514,3855.0,2025-06-25,Paid,0.0
BL0000247,CON00021,July 2025,594,4455.0,2025-07-26,Unpaid,4455.0
BL0000248,CON00021,August 2025,560,4200.0,2025-08-26,Paid,0.0
BL0000249,CON00021,September 2025,429,3217.5,2025-09-26,Paid,0.0
BL0000250,CON00021,October 2025,363,2722.5,2025-10-27,Paid,0.0
BL0000251,CON00021,November 2025,530,3975.0,2025-11-27,Paid,0.0
BL0000252,CON00021,December 2025,413,3097.5,2025-12-28,Paid,0.0
BL0000253,CON00022,January 2025,181,814.5,2025-01-21,Unpaid,814.5
BL0000254,CON00022,February 2025,110,495.0,2025-02-21,Paid,0.0
BL0000255,CON00022,March 2025,134,603.0,2025-03-24,Paid,0.0
BL0000256,CON00022,April 2025,126,567.0,2025-04-24,Paid,0.0
BL0000257,CON00022,May 2025,141,634.5,2025-05-25,Paid,0.0
BL0000258,CON00022,June 2025,149,670.5,2025-06-25,Paid,0.0
BL0000259,CON00022,July 2025,120,540.0,2025-07-26,Paid,0.0
BL0000260,CON00022,August 2025,105,472.5,2025-08-26,Paid,0.0
BL0000261,CON00022,September 2025,158,711.0,2025-09-26,Paid,0.0
BL0000262,CON00022,October 2025,155,697.5,2025-10-27,Paid,0.0
BL0000263,CON00022,November 2025,122,549.0,2025-11-27,Paid,0.0
BL0000264,CON00022,December 2025,162,729.0,2025-12-28,Paid,0.0
BL0000265,CON00023,January 2025,200,900.0,2025-01-21,Paid,0.0
BL0000266,CON00023,February 2025,187,841.5,2025-02-21,Paid,0.0
BL0000267,CON00023,March 2025,169,760.5,2025-03-24,Paid,0.0
BL0000268,CON00023,April 2025,129,580.5,2025-04-24,Paid,0.0
BL0000269,CON00023,May 2025,104,468.0,2025-05-25,Paid,0.0
BL0000270,CON00023,June 2025,169,760.5,2025-06-25,Paid,0.0
BL0000271,CON00023,July 2025,169,760.5,2025-07-26,Paid,0.0
BL0000272,CON00023,August 2025,129,580.5,2025-08-26,Paid,0.0
BL0000273,CON00023,September 2025,113,508.5,2025-09-26,Paid,0.0
BL0000274,CON00023,October 2025,207,931.5,2025-10-27,Paid,0.0
BL0000275,CON00023,November 2025,210,945.0,2025-11-27,Paid,0.0
BL0000276,CON00023,December 2025,144,648.0,2025-12-28,Paid,0.0
BL0000277,CON00024,January 2025,167,751.5,2025-01-21,Paid,0.0
BL0000278,CON00024,February 2025,134,603.0,2025-02-21,Paid,0.0
BL0000279,CON00024,March 2025,154,693.0,2025-03-24,Paid,0.0
BL0000280,CON00024,April 2025,163,733.5,2025-04-24,Paid,0.0
BL0000281,CON00024,May 2025,200,900.0,2025-05-25,Paid,0.0
BL0000282,CON00024,June 2025,130,585.0,2025-06-25,Paid,0.0
BL0000283,CON00024,July 2025,168,756.0,2025-07-26,Paid,0.0
BL0000284,CON00024,August 2025,172,774.0,2025-08-26,Paid,0.0
BL0000285,CON00024,September 2025,129,580.5,2025-09-26,Paid,0.0
BL0000286,CON00024,October 2025,138,621.0,2025-10-27,Paid,0.0
BL0000287,CON00024,November 2025,153,688.5,2025-11-27,Paid,0.0
BL0000288,CON00024,December 2025,170,765.0,2025-12-28,Paid,0.0
BL0000289,CON00025,January 2025,140,630.0,2025-01-21,Paid,0.0
BL0000290,CON00025,February 2025,152,684.0,2025-02-21,Paid,0.0
BL0000291,CON00025,March 2025,116,522.0,2025-03-24,Paid,0.0
BL0000292,CON00025,April 2025,105,472.5,2025-04-24,Paid,0.0
BL0000293,CON00025,May 2025,117,526.5,2025-05-25,Paid,0.0
BL0000294,CON00025,June 2025,194,873.0,2025-06-25,Paid,0.0
BL0000295,CON00025,July 2025,154,693.0,2025-07-26,Paid,0.0
BL0000296,CON00025,August 2025,102,459.0,2025-08-26,Paid,0.0
BL0000297,CON00025,September 2025,108,486.0,2025-09-26,Paid,0.0
BL0000298,CON00025,October 2025,210,945.0,2025-10-27,Paid,0.0
BL0000299,CON00025,November 2025,136,612.0,2025-11-27,Paid,0.0
BL0000300,CON00025,December 2025,142,639.0,2025-12-28,Paid,0.0
BL0000301,CON00026,January 2025,650,4875.0,2025-01-21,Paid,0.0
BL0000302,CON00026,February 2025,808,6060.0,2025-02-21,Paid,0.0
BL0000303,CON00026,March 2025,476,3570.0,2025-03-24,Paid,0.0
BL0000304,CON00026,April 2025,430,3225.0,2025-04-24,Paid,0.0
BL0000305,CON00026,May 2025,665,4987.5,2025-05-25,Unpaid,4987.5
BL0000306,CON00026,June 2025,689,5167.5,2025-06-25,Unpaid,5167.5
BL0000307,CON00026,July 2025,755,5662.5,2025-07-26,Paid,0.0
BL0000308,CON00026,August 2025,572,4290.0,2025-08-26,Paid,0.0
BL0000309,CON00026,September 2025,591,4432.5,2025-09-26,Paid,0.0
BL0000310,CON00026,October 2025,597,4477.5,2025-10-27,Paid,0.0
BL0000311,CON00026,November 2025,402,3015.0,2025-11-27,Paid,0.0
BL0000312,CON00026,December 2025,651,4882.5,2025-12-28,Paid,0.0
BL0000313,CON00027,January 2025,141,634.5,2025-01-21,Paid,0.0
BL0000314,CON00027,February 2025,94,423.0,2025-02-21,Paid,0.0
BL0000315,CON00027,March 2025,160,720.0,2025-03-24,Paid,0.0
BL0000316,CON00027,April 2025,170,765.0,2025-04-24,Paid,0.0
BL0000317,CON00027,May 2025,155,697.5,2025-05-25,Paid,0.0
BL0000318,CON00027,June 2025,165,742.5,2025-06-25,Paid,0.0
BL0000319,CON00027,July 2025,131,589.5,2025-07-26,Paid,0.0
BL0000320,CON00027,August 2025,145,652.5,2025-08-26,Paid,0.0
BL0000321,CON00027,September 2025,140,630.0,2025-09-26,Paid,0.0
BL0000322,CON00027,October 2025,202,909.0,2025-10-27,Unpaid,909.0
BL0000323,CON00027,November 2025,144,648.0,2025-11-27,Paid,0.0
BL0000324,CON00027,December 2025,109,490.5,2025-12-28,Paid,0.0
BL0000325,CON00028,January 2025,140,630.0,2025-01-21,Paid,0.0
BL0000326,CON00028,February 2025,132,594.0,2025-02-21,Paid,0.0
BL0000327,CON00028,March 2025,144,648.0,2025-03-24,Paid,0.0
BL0000328,CON00028,April 2025,136,612.0,2025-04-24,Paid,0.0
BL0000329,CON00028,May 2025,132,594.0,2025-05-25,Paid,0.0
BL0000330,CON00028,June 2025,163,733.5,2025-06-25,Paid,0.0
BL0000331,CON00028,July 2025,145,652.5,2025-07-26,Unpaid,652.5
BL0000332,CON00028,August 2025,170,765.0,2025-08-26,Paid,0.0
BL0000333,CON00028,September 2025,161,724.5,2025-09-26,Paid,0.0
BL0000334,CON00028,October 2025,118,531.0,2025-10-27,Paid,0.0
BL0000335,CON00028,November 2025,195,877.5,2025-11-27,Paid,0.0
BL0000336,CON00028,December 2025,197,886.5,2025-12-28,Paid,0.0
BL0000337,CON00029,January 2025,156,702.0,2025-01-21,Paid,0.0
BL0000338,CON00029,February 2025,151,679.5,2025-02-21,Paid,0.0
BL0000339,CON00029,March 2025,184,828.0,2025-03-24,Paid,0.0
BL0000340,CON00029,April 2025,131,589.5,2025-04-24,Unpaid,589.5
BL0000341,CON00029,May 2025,124,558.0,2025-05-25,Paid,0.0
BL0000342,CON00029,June 2025,44,198.0,2025-06-25,Paid,0.0
BL0000343,CON00029,July 2025,42,189.0,2025-07-26,Paid,0.0
BL0000344,CON00029,August 2025,42,189.0,2025-08-26,Paid,0.0
BL0000345,CON00029,September 2025,27,121.5,2025-09-26,Paid,0.0
BL0000346,CON00029,October 2025,33,148.5,2025-10-27,Paid,0.0
BL0000347,CON00029,November 2025,19,85.5,2025-11-27,Paid,0.0
BL0000348,CON00029,December 2025,35,157.5,2025-12-28,Paid,0.0
BL0000349,CON00030,January 2025,117,526.5,2025-01-21,Unpaid,526.5
BL0000350,CON00030,February 2025,201,904.5,2025-02-21,Paid,0.0
BL0000351,CON00030,March 2025,161,724.5,2025-03-24,Paid,0.0
BL0000352,CON00030,April 2025,110,495.0,2025-04-24,Unpaid,495.0
BL0000353,CON00030,May 2025,119,535.5,2025-05-25,Paid,0.0
BL0000354,CON00030,June 2025,124,558.0,2025-06-25,Paid,0.0
BL0000355,CON00030,July 2025,165,742.5,2025-07-26,Paid,0.0
BL0000356,CON00030,August 2025,192,864.0,2025-08-26,Paid,0.0
BL0000357,CON00030,September 2025,191,859.5,2025-09-26,Paid,0.0
BL0000358,CON00030,October 2025,153,688.5,2025-10-27,Paid,0.0
BL0000359,CON00030,November 2025,161,724.5,2025-11-27,Unpaid,724.5
BL0000360,CON00030,December 2025,148,666.0,2025-12-28,Paid,0.0
BL0000361,CON00031,January 2025,387,2902.5,2025-01-21,Paid,0.0
BL0000362,CON00031,February 2025,946,7095.0,2025-02-21,Paid,0.0
BL0000363,CON00031,March 2025,640,4800.0,2025-03-24,Paid,0.0
BL0000364,CON00031,April 2025,531,3982.5,2025-04-24,Paid,0.0
BL0000365,CON00031,May 2025,810,6075.0,2025-05-25,Unpaid,6075.0
BL0000366,CON00031,June 2025,703,5272.5,2025-06-25,Paid,0.0
BL0000367,CON00031,July 2025,656,4920.0,2025-07-26,Paid,0.0
BL0000368,CON00031,August 2025,345,2587.5,2025-08-26,Paid,0.0
BL0000369,CON00031,September 2025,686,5145.0,2025-09-26,Paid,0.0
BL0000370,CON00031,October 2025,512,3840.0,2025-10-27,Paid,0.0
