Consumer_ID,Consumer_Name,Consumer_Type,Tariff,Area,District,Meter_Type,Connection_Date,Sanctioned_Load_KW,Phase_Type,Status
CON00023,Consumer_23,Residential,Tariff IA,Velachery,Coimbatore,Digital Meter,2024-01-01,31.66,Three Phase,Active
CON00024,Consumer_24,Residential,Tariff IA,Anna Nagar,Chennai,Smart Meter,2024-01-01,12.24,Three Phase,Active
CON00025,Consumer_25,Residential,Tariff IA,Peelamedu,Coimbatore,Digital Meter,2024-01-01,28.26,Three Phase,Active
CON00026,Consumer_26,Commercial,Tariff V,KK Nagar,Madurai,Digital Meter,2024-01-01,54.28,Three Phase,Active
CON00027,Consumer_27,Residential,Tariff IA,Velachery,Coimbatore,Digital Meter,2024-01-01,4.0,Three Phase,Active
CON00028,Consumer_28,Residential,Tariff IA,Velachery,Chennai,Smart Meter,2024-01-01,51.95,Three Phase,Active
CON00029,Consumer_29,Residential,Tariff IA,Peelamedu,Coimbatore,Digital Meter,2024-01-01,21.12,Three Phase,Active
CON00030,Consumer_30,Residential,Tariff IA,Adyar,Coimbatore,Smart Meter,2024-01-01,54.07,Single Phase,Active
CON00031,Consumer_31,Commercial,Tariff V,KK Nagar,Madurai,Analog Meter,2024-01-01,56.51,Three Phase,Active
CON00032,Consumer_32,Residential,Tariff IA,Velachery,Coimbatore,Digital Meter,2024-01-01,40.58,Three Phase,Active
CON00033,Consumer_33,Residential,Tariff IA,KK Nagar,Madurai,Smart Meter,2024-01-01,40.2,Three Phase,Active
CON00034,Consumer_34,Industrial,Tariff III,Velachery,Madurai,Digital Meter,2024-01-01,27.71,Three Phase,Active
CON00035,Consumer_35,Agricultural,Tariff IV,KK Nagar,Chennai,Analog Meter,2024-01-01,50.3,Single Phase,Active
CON00036,Consumer_36,Commercial,Tariff V,Anna Nagar,Madurai,Smart Meter,2024-01-01,57.74,Three Phase,Active
CON00037,Consumer_37,Residential,Tariff IA,Velachery,Madurai,Smart Meter,2024-01-01,46.73,Single Phase,Active
CON00038,Consumer_38,Residential,Tariff IA,KK Nagar,Chennai,Smart Meter,2024-01-01,37.69,Single Phase,Active
CON00039,Consumer_39,Commercial,Tariff V,Adyar,Madurai,Analog Meter,2024-01-01,36.8,Three Phase,Active
CON00040,Consumer_40,Residential,Tariff IA,Anna Nagar,Chennai,Analog Meter,2024-01-01,51.12,Three Phase,Active
CON00041,Consumer_41,Residential,Tariff IA,Anna Nagar,Coimbatore,Analog Meter,2024-01-01,32.93,Single Phase,Active
CON00042,Consumer_42,Residential,Tariff IA,Adyar,Chennai,Smart Meter,2024-01-01,48.43,Three Phase,Active
CON00043,Consumer_43,Residential,Tariff IA,KK Nagar,Madurai,Analog Meter,2024-01-01,31.02,Three Phase,Active
CON00044,Consumer_44,Industrial,Tariff III,Peelamedu,Chennai,Digital Meter,2024-01-01,4.68,Single Phase,Active
CON00045,Consumer_45,Residential,Tariff IA,Adyar,Madurai,Analog Meter,2024-01-01,23.65,Single Phase,Active
CON00046,Consumer_46,Commercial,Tariff V,KK Nagar,Coimbatore,Smart Meter,2024-01-01,27.22,Three Phase,Active
CON00047,Consumer_47,Residential,Tariff IA,Adyar,Chennai,Digital Meter,2024-01-01,9.36,Three Phase,Active
CON00048,Consumer_48,Residential,Tariff IA,Adyar,Coimbatore,Analog Meter,2024-01-01,7.05,Three Phase,Active
CON00049,Consumer_49,Residential,Tariff IA,Velachery,Madurai,Digital Meter,2024-01-01,32.59,Single Phase,Active
CON00050,Consumer_50,Residential,Tariff IA,KK Nagar,Madurai,Digital Meter,2024-01-01,6.02,Three Phase,Active
CON00051,Consumer_51,Agricultural,Tariff IV,Peelamedu,Coimbatore,Smart Meter,2024-01-01,18.87,Single Phase,Active
CON00052,Consumer_52,Commercial,Tariff V,Velachery,Chennai,Digital Meter,2024-01-01,44.93,Single Phase,Active
CON00053,Consumer_53,Industrial,Tariff III,Adyar,Chennai,Digital Meter,2024-01-01,57.9,Three Phase,Active
CON00054,Consumer_54,Industrial,Tariff III,Adyar,Madurai,Smart Meter,2024-01-01,43.35,Single Phase,Active
CON00055,Consumer_55,Residential,Tariff IA,Adyar,Coimbatore,Smart Meter,2024-01-01,59.56,Three Phase,Active
CON00056,Consumer_56,Industrial,Tariff III,KK Nagar,Coimbatore,Smart Meter,2024-01-01,42.2,Three Phase,Active
CON00057,Consumer_57,Residential,Tariff IA,KK Nagar,Chennai,Digital Meter,2024-01-01,18.33,Single Phase,Active
CON00058,Consumer_58,Residential,Tariff IA,Velachery,Chennai,Digital Meter,2024-01-01,40.65,Three Phase,Active
CON00059,Consumer_59,Residential,Tariff IA,Peelamedu,Chennai,Digital Meter,2024-01-01,42.43,Single Phase,Active
CON00060,Consumer_60,Residential,Tariff IA,Velachery,Coimbatore,Smart Meter,2024-01-01,22.93,Single Phase,Active
CON00061,Consumer_61,Residential,Tariff IA,Anna Nagar,Chennai,Analog Meter,2024-01-01,2.05,Three Phase,Active
CON00062,Consumer_62,Residential,Tariff IA,Adyar,Chennai,Digital Meter,2024-01-01,42.49,Three Phase,Active
CON00063,Consumer_63,Commercial,Tariff V,Adyar,Madurai,Analog Meter,2024-01-01,2.28,Three Phase,Active
CON00064,Consumer_64,Residential,Tariff IA,Adyar,Chennai,Smart Meter,2024-01-01,38.24,Three Phase,Active
CON00065,Consumer_65,Residential,Tariff IA,Velachery,Chennai,Digital Meter,2024-01-01,10.65,Single Phase,Active
CON00066,Consumer_66,Residential,Tariff IA,Velachery,Coimbatore,Analog Meter,2024-01-01,34.37,Single Phase,Active
CON00067,Consumer_67,Residential,Tariff IA,Adyar,Coimbatore,Digital Meter,2024-01-01,30.73,Single Phase,Active
CON00068,Consumer_68,Commercial,Tariff V,Velachery,Madurai,Digital Meter,2024-01-01,1.8,Three Phase,Active
CON00069,Consumer_69,Residential,Tariff IA,KK Nagar,Chennai,Digital Meter,2024-01-01,22.41,Single Phase,Active
CON00070,Consumer_70,Agricultural,Tariff IV,KK Nagar,Madurai,Analog Meter,2024-01-01,36.46,Single Phase,Active
CON00071,Consumer_71,Commercial,Tariff V,Velachery,Coimbatore,Smart Meter,2024-01-01,51.07,Three Phase,Active
CON00072,Consumer_72,Residential,Tariff IA,Adyar,Madurai,Digital Meter,2024-01-01,53.43,Three Phase,Active
CON00073,Consumer_73,Residential,Tariff IA,Velachery,Coimbatore,Smart Meter,2024-01-01,29.55,Three Phase,Active
CON00074,Consumer_74,Commercial,Tariff V,Velachery,Madurai,Smart Meter,2024-01-01,43.98,Single Phase,Active
CON00075,Consumer_75,Commercial,Tariff V,Velachery,Madurai,Analog Meter,2024-01-01,19.67,Three Phase,Active
CON00076,Consumer_76,Commercial,Tariff V,Anna Nagar,Chennai,Analog Meter,2024-01-01,21.19,Single Phase,Active
CON00077,Consumer_77,Commercial,Tariff V,KK Nagar,Madurai,Smart Meter,2024-01-01,12.47,Single Phase,Active
CON00078,Consumer_78,Residential,Tariff IA,Peelamedu,Chennai,Digital Meter,2024-01-01,34.15,Single Phase,Active
CON00079,Consumer_79,Residential,Tariff IA,Peelamedu,Chennai,Analog Meter,2024-01-01,19.56,Single Phase,Active
CON00080,Consumer_80,Residential,Tariff IA,Anna Nagar,Chennai,Digital Meter,2024-01-01,5.98,Single Phase,Active
CON00081,Consumer_81,Industrial,Tariff III,Velachery,Chennai,Digital Meter,2024-01-01,41.42,Three Phase,Active
CON00082,Consumer_82,Commercial,Tariff V,Anna Nagar,Madurai,Digital Meter,2024-01-01,42.76,Single Phase,Active
CON00083,Consumer_83,Residential,Tariff IA,Anna Nagar,Coimbatore,Smart Meter,2024-01-01,22.24,Three Phase,Active
CON00084,Consumer_84,Residential,Tariff IA,Adyar,Coimbatore,Digital Meter,2024-01-01,5.53,Single Phase,Active
CON00085,Consumer_85,Residential,Tariff IA,KK Nagar,Coimbatore,Smart Meter,2024-01-01,26.15,Single Phase,Active
CON00086,Consumer_86,Residential,Tariff IA,Peelamedu,Madurai,Smart Meter,2024-01-01,27.1,Three Phase,Active
CON00087,Consumer_87,Commercial,Tariff V,Velachery,Chennai,Digital Meter,2024-01-01,40.45,Single Phase,Active
CON00088,Consumer_88,Commercial,Tariff V,Peelamedu,Coimbatore,Digital Meter,2024-01-01,19.61,Single Phase,Active
CON00089,Consumer_89,Industrial,Tariff III,Peelamedu,Madurai,Digital Meter,2024-01-01,41.27,Three Phase,Active
CON00090,Consumer_90,Residential,Tariff IA,KK Nagar,Chennai,Digital Meter,2024-01-01,52.42,Three Phase,Active
CON00091,Consumer_91,Residential,Tariff IA,Peelamedu,Coimbatore,Smart Meter,2024-01-01,15.01,Single Phase,Active
CON00092,Consumer_92,Commercial,Tariff V,Peelamedu,Chennai,Digital Meter,2024-01-01,58.76,Single Phase,Active
CON00093,Consumer_93,Commercial,Tariff V,Anna Nagar,Coimbatore,Digital Meter,2024-01-01,23.8,Single Phase,Active
CON00094,Consumer_94,Residential,Tariff IA,KK Nagar,Coimbatore,Smart Meter,2024-01-01,16.77,Three Phase,Active
CON00095,Consumer_95,Commercial,Tariff V,Adyar,Coimbatore,Analog Meter,2024-01-01,25.87,Single Phase,Active
CON00096,Consumer_96,Residential,Tariff IA,Velachery,Chennai,Analog Meter,2024-01-01,6.57,Three Phase,Active
CON00097,Consumer_97,Residential,Tariff IA,Peelamedu,Madurai,Smart Meter,2024-01-01,8.42,Three Phase,Active
CON00098,Consumer_98,Residential,Tariff IA,Velachery,Chennai,Analog Meter,2024-01-01,25.45,Single Phase,Active
CON00099,Consumer_99,Residential,Tariff IA,Adyar,Coimbatore,Smart Meter,2024-01-01,45.98,Three Phase,Active
CON00100,Consumer_100,Residential,Tariff IA,Velachery,Chennai,Digital Meter,2024-01-01,54.12,Single Phase,Active
CON00101,Consumer_101,Residential,Tariff IA,Adyar,Madurai,Digital Meter,2024-01-01,40.22,Single Phase,Active
CON00102,Consumer_102,Commercial,Tariff V,Anna Nagar,Chennai,Analog Meter,2024-01-01,7.21,Three Phase,Active
CON00103,Consumer_103,Residential,Tariff IA,Peelamedu,Madurai,Digital Meter,2024-01-01,40.65,Three Phase,Active
CON00104,Consumer_104,Residential,Tariff IA,Adyar,Madurai,Analog Meter,2024-01-01,38.49,Three Phase,Active
CON00105,Consumer_105,Industrial,Tariff III,Velachery,Chennai,Analog Meter,2024-01-01,48.54,Three Phase,Active
CON00106,Consumer_106,Residential,Tariff IA,Peelamedu,Coimbatore,Digital Meter,2024-01-01,49.69,Three Phase,Active
CON00107,Consumer_107,Residential,Tariff IA,Anna Nagar,Madurai,Digital Meter,2024-01-01,52.22,Three Phase,Active
CON00108,Consumer_108,Commercial,Tariff V,Peelamedu,Chennai,Analog Meter,2024-01-01,25.43,Single Phase,Active
CON00109,Consumer_109,Residential,Tariff IA,Adyar,Madurai,Digital Meter,2024-01-01,42.17,Single Phase,Active
CON00110,Consumer_110,Residential,Tariff IA,Anna Nagar,Coimbatore,Smart Meter,2024-01-01,16.83,Single Phase,Active
CON00111,Consumer_111,Residential,Tariff IA,Velachery,Chennai,Digital Meter,2024-01-01,59.96,Three Phase,Active
CON00112,Consumer_112,Residential,Tariff IA,Anna Nagar,Chennai,Digital Meter,2024-01-01,11.34,Three Phase,Active
CON00113,Consumer_113,Industrial,Tariff III,Anna Nagar,Chennai,Smart Meter,2024-01-01,1.6,Three Phase,Active
CON00114,Consumer_114,Commercial,Tariff V,KK Nagar,Coimbatore,Digital Meter,2024-01-01,9.78,Single Phase,Active
CON00115,Consumer_115,Commercial,Tariff V,Anna Nagar,Madurai,Digital Meter,2024-01-01,46.78,Single Phase,Active
CON00116,Consumer_116,Industrial,Tariff III,Anna Nagar,Chennai,Analog Meter,2024-01-01,27.36,Three Phase,Active
CON00117,Consumer_117,Commercial,Tariff V,Peelamedu,Madurai,Digital Meter,2024-01-01,27.4,Three Phase,Active
CON00118,Consumer_118,Residential,Tariff IA,Velachery,Madurai,Digital Meter,2024-01-01,57.35,Three Phase,Active
CON00119,Consumer_119,Industrial,Tariff III,Peelamedu,Coimbatore,Smart Meter,2024-01-01,55.26,Three Phase,Active
CON00120,Consumer_120,Residential,Tariff IA,Peelamedu,Chennai,Analog Meter,2024-01-01,19.36,Single Phase,Active
CON00121,Consumer_121,Commercial,Tariff V,Adyar,Madurai,Analog Meter,2024-01-01,13.33,Single Phase,Active
CON00122,Consumer_122,Industrial,Tariff III,Peelamedu,Chennai,Analog Meter,2024-01-01,51.06,Single Phase,Active
CON00123,Consumer_123,Residential,Tariff IA,KK Nagar,Chennai,Digital Meter,2024-01-01,54.46,Three Phase,Active
CON00124,Consumer_124,Residential,Tariff IA,KK Nagar,Coimbatore,Analog Meter,2024-01-01,32.95,Single Phase,Active
CON00125,Consumer_125,Residential,Tariff IA,Adyar,Chennai,Smart Meter,2024-01-01,38.14,Three Phase,Active
CON00126,Consumer_126,Residential,Tariff IA,Velachery,Chennai,Analog Meter,2024-01-01,16.16,Three Phase,Active
CON00127,Consumer_127,Commercial,Tariff V,Velachery,Madurai,Smart Meter,2024-01-01,48.25,Three Phase,Active
CON00128,Consumer_128,Industrial,Tariff III,Peelamedu,Coimbatore,Analog Meter,2024-01-01,38.3,Single Phase,Active
CON00129,Consumer_129,Residential,Tariff IA,Peelamedu,Chennai,Analog Meter,2024-01-01,30.71,Single Phase,Active
CON00130,Consumer_130,Residential,Tariff IA,Peelamedu,Madurai,Smart Meter,2024-01-01,4.55,Three Phase,Active
CON00131,Consumer_131,Residential,Tariff IA,Velachery,Coimbatore,Analog Meter,2024-01-01,55.04,Single Phase,Active
CON00132,Consumer_132,Residential,Tariff IA,Anna Nagar,Coimbatore,Analog Meter,2024-01-01,37.31,Three Phase,Active
CON00133,Consumer_133,Residential,Tariff IA,KK Nagar,Madurai,Analog Meter,2024-01-01,12.37,Three Phase,Active
CON00134,Consumer_134,Residential,Tariff IA,Anna Nagar,Madurai,Digital Meter,2024-01-01,36.78,Three Phase,Active
CON00135,Consumer_135,Industrial,Tariff III,Anna Nagar,Madurai,Smart Meter,2024-01-01,40.97,Single Phase,Active
CON00136,Consumer_136,Residential,Tariff IA,Velachery,Madurai,Analog Meter,2024-01-01,32.02,Single Phase,Active
CON00137,Consumer_137,Residential,Tariff IA,Anna Nagar,Madurai,Smart Meter,2024-01-01,43.37,Three Phase,Active
CON00138,Consumer_138,Commercial,Tariff V,Adyar,Chennai,Smart Meter,2024-01-01,35.31,Single Phase,Active
CON00139,Consumer_139,Residential,Tariff IA,Peelamedu,Chennai,Smart Meter,2024-01-01,56.92,Single Phase,Active
CON00140,Consumer_140,Agricultural,Tariff IV,Adyar,Coimbatore,Analog Meter,2024-01-01,4.17,Single Phase,Active
CON00141,Consumer_141,Agricultural,Tariff IV,KK Nagar,Chennai,Analog Meter,2024-01-01,7.27,Single Phase,Active
CON00142,Consumer_142,Residential,Tariff IA,Peelamedu,Chennai,Smart Meter,2024-01-01,11.25,Three Phase,Active
CON00143,Consumer_143,Residential,Tariff IA,Anna Nagar,Chennai,Digital Meter,2024-01-01,41.72,Single Phase,Active
CON00144,Consumer_144,Residential,Tariff IA,KK Nagar,Madurai,Smart Meter,2024-01-01,39.09,Three Phase,Active
CON00145,Consumer_145,Residential,Tariff IA,Peelamedu,Coimbatore,Digital Meter,2024-01-01,53.63,Three Phase,Active
CON00146,Consumer_146,Residential,Tariff IA,Anna Nagar,Coimbatore,Smart Meter,2024-01-01,44.24,Single Phase,Active
CON00147,Consumer_147,Commercial,Tariff V,Adyar,Coimbatore,Smart Meter,2024-01-01,30.99,Three Phase,Active
CON00148,Consumer_148,Residential,Tariff IA,Peelamedu,Coimbatore,Smart Meter,2024-01-01,59.52,Three Phase,Active
CON00149,Consumer_149,Residential,Tariff IA,Anna Nagar,Chennai,Analog Meter,2024-01-01,16.7,Single Phase,Active
CON00150,Consumer_150,Residential,Tariff IA,Adyar,Chennai,Digital Meter,2024-01-01,50.16,Three Phase,Active
CON00151,Consumer_151,Industrial,Tariff III,KK Nagar,Madurai,Digital Meter,2024-01-01,26.18,Three Phase,Active
CON00152,Consumer_152,Residential,Tariff IA,KK Nagar,Coimbatore,Smart Meter,2024-01-01,39.28,Single Phase,Active
CON00153,Consumer_153,Residential,Tariff IA,KK Nagar,Chennai,Analog Meter,2024-01-01,43.91,Single Phase,Active
CON00154,Consumer_154,Residential,Tariff IA,KK Nagar,Chennai,Analog Meter,2024-01-01,38.39,Single Phase,Active
CON00155,Consumer_155,Agricultural,Tariff IV,Velachery,Madurai,Digital Meter,2024-01-01,9.29,Single Phase,Active
CON00156,Consumer_156,Residential,Tariff IA,Peelamedu,Madurai,Analog Meter,2024-01-01,27.13,Single Phase,Active
CON00157,Consumer_157,Commercial,Tariff V,Peelamedu,Madurai,Digital Meter,2024-01-01,34.12,Three Phase,Active
CON00158,Consumer_158,Commercial,Tariff V,Velachery,Chennai,Digital Meter,2024-01-01,51.09,Three Phase,Active
CON00159,Consumer_159,Residential,Tariff IA,Anna Nagar,Chennai,Digital Meter,2024-01-01,27.18,Single Phase,Active
CON00160,Consumer_160,Commercial,Tariff V,Anna Nagar,Madurai,Analog Meter,2024-01-01,55.21,Single Phase,Active
CON00161,Consumer_161,Residential,Tariff IA,KK Nagar,Coimbatore,Digital Meter,2024-01-01,26.98,Three Phase,Active
CON00162,Consumer_162,Commercial,Tariff V,Adyar,Madurai,Digital Meter,2024-01-01,33.38,Single Phase,Active
CON00163,Consumer_163,Commercial,Tariff V,Anna Nagar,Madurai,Smart Meter,2024-01-01,47.98,Single Phase,Active
CON00164,Consumer_164,Residential,Tariff IA,Adyar,Madurai,Digital Meter,2024-01-01,35.4,Three Phase,Active
CON00165,Consumer_165,Residential,Tariff IA,Peelamedu,Madurai,Digital Meter,2024-01-01,57.65,Three Phase,Active
CON00166,Consumer_166,Commercial,Tariff V,Adyar,Chennai,Smart Meter,2024-01-01,39.96,Three Phase,Active
CON00167,Consumer_167,Residential,Tariff IA,Peelamedu,Coimbatore,Smart Meter,2024-01-01,31.84,Single Phase,Active
CON00168,Consumer_168,Residential,Tariff IA,Velachery,Madurai,Analog Meter,2024-01-01,2.39,Three Phase,Active
CON00169,Consumer_169,Residential,Tariff IA,Velachery,Coimbatore,Digital Meter,2024-01-01,25.41,Single Phase,Active
CON00170,Consumer_170,Residential,Tariff IA,KK Nagar,Coimbatore,Analog Meter,2024-01-01,18.66,Three Phase,Active
CON00171,Consumer_171,Commercial,Tariff V,Anna Nagar,Coimbatore,Analog Meter,2024-01-01,45.14,Single Phase,Active
CON00172,Consumer_172,Residential,Tariff IA,KK Nagar,Madurai,Smart Meter,2024-01-01,13.29,Single Phase,Active
CON00173,Consumer_173,Residential,Tariff IA,Peelamedu,Chennai,Analog Meter,2024-01-01,13.11,Single Phase,Active
CON00174,Consumer_174,Residential,Tariff IA,KK Nagar,Madurai,Digital Meter,2024-01-01,12.18,Three Phase,Active
CON00175,Consumer_175,Commercial,Tariff V,Adyar,Coimbatore,Smart Meter,2024-01-01,8.41,Three Phase,Active
CON00176,Consumer_176,Residential,Tariff IA,Peelamedu,Coimbatore,Digital Meter,2024-01-01,19.35,Three Phase,Active
CON00177,Consumer_177,Commercial,Tariff V,Velachery,Chennai,Digital Meter,2024-01-01,53.27,Single Phase,Active
CON00178,Consumer_178,Residential,Tariff IA,Anna Nagar,Madurai,Smart Meter,2024-01-01,46.72,Three Phase,Active
CON00179,Consumer_179,Industrial,Tariff III,Peelamedu,Coimbatore,Digital Meter,2024-01-01,44.38,Three Phase,Active
CON00180,Consumer_180,Residential,Tariff IA,Peelamedu,Chennai,Smart Meter,2024-01-01,48.04,Single Phase,Active
CON00181,Consumer_181,Residential,Tariff IA,Adyar,Coimbatore,Digital Meter,2024-01-01,16.9,Single Phase,Active
CON00182,Consumer_182,Residential,Tariff IA,Anna Nagar,Chennai,Smart Meter,2024-01-01,53.36,Three Phase,Active
CON00183,Consumer_183,Industrial,Tariff III,Velachery,Chennai,Analog Meter,2024-01-01,9.1,Three Phase,Active
CON00184,Consumer_184,Industrial,Tariff III,Peelamedu,Madurai,Digital Meter,2024-01-01,20.84,Three Phase,Active
CON00185,Consumer_185,Residential,Tariff IA,Peelamedu,Coimbatore,Smart Meter,2024-01-01,35.62,Single Phase,Active
CON00186,Consumer_186,Commercial,Tariff V,Adyar,Madurai,Digital Meter,2024-01-01,7.07,Three Phase,Active
CON00187,Consumer_187,Commercial,Tariff V,KK Nagar,Coimbatore,Digital Meter,2024-01-01,44.08,Single Phase,Active
CON00188,Consumer_188,Residential,Tariff IA,Velachery,Madurai,Digital Meter,2024-01-01,23.85,Single Phase,Active
CON00189,Consumer_189,Residential,Tariff IA,Anna Nagar,Coimbatore,Smart Meter,2024-01-01,47.28,Three Phase,Active
CON00190,Consumer_190,Residential,Tariff IA,Peelamedu,Madurai,Analog Meter,2024-01-01,30.08,Three Phase,Active
CON00191,Consumer_191,Residential,Tariff IA,Peelamedu,Chennai,Analog Meter,2024-01-01,11.67,Single Phase,Active
CON00192,Consumer_192,Industrial,Tariff III,Velachery,Coimbatore,Analog Meter,2024-01-01,44.35,Single Phase,Active
CON00193,Consumer_193,Industrial,Tariff III,KK Nagar,Coimbatore,Smart Meter,2024-01-01,15.88,Three Phase,Active
CON00194,Consumer_194,Commercial,Tariff V,Peelamedu,Chennai,Analog Meter,2024-01-01,29.96,Three Phase,Active
CON00195,Consumer_195,Residential,Tariff IA,Velachery,Madurai,Smart Meter,2024-01-01,5.46,Three Phase,Active
CON00196,Consumer_196,Residential,Tariff IA,Adyar,Coimbatore,Digital Meter,2024-01-01,37.45,Single Phase,Active
CON00197,Consumer_197,Commercial,Tariff V,KK Nagar,Coimbatore,Digital Meter,2024-01-01,40.29,Single Phase,Active
CON00198,Consumer_198,Industrial,Tariff III,Anna Nagar,Madurai,Analog Meter,2024-01-01,23.34,Three Phase,Active
CON00199,Consumer_199,Industrial,Tariff III,Peelamedu,Chennai,Smart Meter,2024-01-01,57.31,Single Phase,Active
CON00200,Consumer_200,Commercial,Tariff V,Velachery,Madurai,Digital Meter,2024-01-01,52.58,Single Phase,Active
CON00201,Consumer_201,Commercial,Tariff V,Adyar,Madurai,Smart Meter,2024-01-01,42.77,Three Phase,Active
CON00202,Consumer_202,Residential,Tariff IA,Anna Nagar,Madurai,Smart Meter,2024-01-01,43.11,Single Phase,Active
CON00203,Consumer_203,Residential,Tariff IA,Velachery,Coimbatore,Digital Meter,2024-01-01,15.89,Three Phase,Active
CON00204,Consumer_204,Industrial,Tariff III,Velachery,Chennai,Smart Meter,2024-01-01,39.75,Three Phase,Active
CON00205,Consumer_205,Commercial,Tariff V,Anna Nagar,Chennai,Digital Meter,2024-01-01,12.69,Single Phase,Active
CON00206,Consumer_206,Residential,Tariff IA,Adyar,Madurai,Digital Meter,2024-01-01,9.5,Single Phase,Active
CON00207,Consumer_207,Residential,Tariff IA,Adyar,Coimbatore,Digital Meter,2024-01-01,59.97,Three Phase,Active
CON00208,Consumer_208,Commercial,Tariff V,KK Nagar,Madurai,Smart Meter,2024-01-01,37.72,Single Phase,Active
CON00209,Consumer_209,Residential,Tariff IA,Peelamedu,Coimbatore,Digital Meter,2024-01-01,26.43,Three Phase,Active
CON00210,Consumer_210,Residential,Tariff IA,Anna Nagar,Coimbatore,Smart Meter,2024-01-01,18.0,Single Phase,Active
CON00211,Consumer_211,Residential,Tariff IA,Anna Nagar,Coimbatore,Digital Meter,2024-01-01,36.63,Single Phase,Active
CON00212,Consumer_212,Commercial,Tariff V,Anna Nagar,Coimbatore,Digital Meter,2024-01-01,3.93,Single Phase,Active
CON00213,Consumer_213,Commercial,Tariff V,Adyar,Chennai,Analog Meter,2024-01-01,6.59,Three Phase,Active
CON00214,Consumer_214,Residential,Tariff IA,Peelamedu,Coimbatore,Analog Meter,2024-01-01,2.94,Single Phase,Active
CON00215,Consumer_215,Commercial,Tariff V,KK Nagar,Coimbatore,Analog Meter,2024-01-01,30.45,Three Phase,Active
CON00216,Consumer_216,Residential,Tariff IA,Velachery,Madurai,Smart Meter,2024-01-01,36.44,Three Phase,Active
CON00217,Consumer_217,Residential,Tariff IA,Velachery,Madurai,Smart Meter,2024-01-01,4.69,Three Phase,Active
CON00218,Consumer_218,Commercial,Tariff V,Anna Nagar,Chennai,Digital Meter,2024-01-01,43.55,Single Phase,Active
CON00219,Consumer_219,Commercial,Tariff V,Peelamedu,Madurai,Digital Meter,2024-01-01,14.59,Three Phase,Active
CON00220,Consumer_220,Commercial,Tariff V,Adyar,Coimbatore,Digital Meter,2024-01-01,41.43,Three Phase,Active
CON00221,Consumer_221,Commercial,Tariff V,Peelamedu,Madurai,Digital Meter,2024-01-01,58.93,Single Phase,Active
CON00222,Consumer_222,Residential,Tariff IA,Peelamedu,Chennai,Smart Meter,2024-01-01,41.78,Three Phase,Active
CON00223,Consumer_223,Residential,Tariff IA,Adyar,Madurai,Digital Meter,2024-01-01,53.11,Three Phase,Active
