Inspection_ID,Consumer_ID,Avg_Last6Months,Current_Month_Units,Consumption_Drop_Percentage,Voltage_Anomaly,Current_Anomaly,Meter_Tamper_Flag,Night_Usage_Ratio,Transformer_Loss_Percentage,Theft_Flag
INSP000025,CON00429,823.1242328055054,287.68,65.05,1,1,0,0.79,18.57,1
INSP000026,CON00892,585.7882525440059,572.84,2.21,0,0,0,0.26,5.86,0
INSP000027,CON01888,436.0592948314107,464.53,-6.53,0,0,0,0.52,5.31,0
INSP000028,CON01376,645.441877633608,536.3,16.91,0,0,0,0.34,8.59,1
INSP000029,CON02000,880.7224466729546,863.64,1.94,0,0,0,0.2,9.86,0
INSP000030,CON01529,547.0621581636199,491.04,10.24,0,0,0,0.3,20.44,0
INSP000031,CON00254,325.53656381635597,355.45,-9.19,0,0,0,0.67,13.08,0
INSP000032,CON00656,819.286740649037,874.34,-6.72,0,0,1,0.58,10.66,1
INSP000033,CON01010,665.0428069713561,579.58,12.85,0,0,0,0.2,11.55,0
INSP000034,CON00129,838.9751128833652,858.61,-2.34,0,0,0,0.41,23.88,0
INSP000035,CON01247,228.3944675311048,206.65,9.52,0,0,0,0.49,16.06,0
INSP000036,CON00360,572.4710565133583,482.99,15.63,0,0,0,0.21,25.2,0
INSP000037,CON00012,261.65498140635276,54.87,79.03,1,1,0,0.35,5.25,1
INSP000038,CON00031,351.56564183456567,312.61,11.08,0,0,0,0.77,27.67,0
INSP000039,CON01770,802.9797374831636,707.02,11.95,0,0,0,0.32,18.13,0
INSP000040,CON01868,836.7648457183575,901.45,-7.73,0,0,0,0.54,21.42,1
INSP000041,CON00428,707.9202807300679,616.67,12.89,0,0,0,0.32,6.75,0
INSP000042,CON01809,1191.6492538944215,1263.03,-5.99,0,0,0,0.56,15.52,0
INSP000043,CON00009,334.5651553995816,296.49,11.38,0,0,0,0.24,19.93,0
INSP000044,CON00238,404.70385458815906,373.54,7.7,0,0,1,0.51,10.93,0
INSP000045,CON01360,130.4468421194788,139.68,-7.08,0,0,0,0.45,22.75,1
INSP000046,CON00423,1029.0785337196178,982.46,4.53,0,0,0,0.56,5.13,0
INSP000047,CON01975,759.5983826705539,664.65,12.5,0,0,0,0.72,11.0,0
INSP000048,CON00008,565.9008076813861,555.32,1.87,0,0,0,0.23,16.94,1
INSP000049,CON01428,344.5192714407551,62.08,81.98,1,1,1,0.58,5.07,1
INSP000050,CON00669,671.0321809920684,606.28,9.65,0,0,0,0.63,15.5,1
INSP000051,CON01576,468.415517983269,495.12,-5.7,0,0,0,0.25,6.74,0
INSP000052,CON00443,381.9402520400325,398.75,-4.4,0,0,1,0.45,5.85,0
INSP000053,CON00371,1106.6959621864617,1123.19,-1.49,0,0,0,0.26,16.12,0
INSP000054,CON00834,1092.7386839095493,922.6,15.57,0,0,0,0.77,26.36,0
INSP000055,CON00505,641.8608649964009,551.29,14.11,0,0,0,0.23,26.16,0
INSP000056,CON00265,1076.9320168349996,974.41,9.52,0,0,0,0.52,9.39,0
INSP000057,CON00322,468.80112749644945,412.69,11.97,0,0,0,0.47,13.61,0
INSP000058,CON01706,1148.233505540201,979.1,14.73,0,0,0,0.75,22.68,0
INSP000059,CON01884,680.7215710735213,602.37,11.51,0,0,0,0.59,7.28,0
INSP000060,CON00322,880.8676073174711,845.46,4.02,0,0,0,0.32,17.79,1
INSP000061,CON00536,636.4907360932732,269.68,57.63,1,1,0,0.56,28.39,1
INSP000062,CON01950,860.9386001247121,721.29,16.22,0,0,0,0.52,22.44,0
INSP000063,CON00061,439.79767236015283,405.71,7.75,0,0,0,0.7,18.99,0
INSP000064,CON00794,922.9990738246033,908.23,1.6,0,0,0,0.5,26.15,0
INSP000065,CON01298,189.01207419290313,185.48,1.87,0,0,0,0.7,23.79,0
INSP000066,CON01832,571.7934445758611,555.78,2.8,0,0,0,0.56,8.58,0
INSP000067,CON00552,1183.5507152219182,1207.46,-2.02,0,0,1,0.62,17.32,0
INSP000068,CON00057,499.763681182732,515.61,-3.17,0,0,0,0.78,5.81,0
INSP000069,CON01813,891.4788342795865,830.32,6.86,0,0,0,0.35,17.49,1
INSP000070,CON00811,1189.1098724166593,1297.32,-9.1,0,0,0,0.51,20.59,1
INSP000071,CON01329,384.1139285613124,416.65,-8.47,0,0,0,0.38,11.43,0
INSP000072,CON00422,1195.5412536485924,1004.37,15.99,0,0,1,0.55,25.98,0
INSP000073,CON00133,1187.0604364778417,548.78,53.77,1,1,1,0.21,9.69,1
INSP000074,CON01544,923.8926135241513,1006.86,-8.98,0,0,1,0.5,10.17,0
INSP000075,CON00093,843.1643248010183,676.72,19.74,0,0,0,0.71,23.01,0
INSP000076,CON00857,940.7525108366164,976.78,-3.83,0,0,0,0.58,21.01,0
INSP000077,CON01769,789.0463014349457,754.72,4.35,0,0,0,0.79,11.94,0
INSP000078,CON01573,1122.370229218578,948.96,15.45,0,0,0,0.48,26.92,0
INSP000079,CON00346,282.6758440248902,250.03,11.55,0,0,0,0.8,9.22,1
INSP000080,CON00316,709.2421032561415,707.4,0.26,0,0,0,0.69,19.81,0
INSP000081,CON01374,300.975603121096,317.32,-5.43,0,0,0,0.77,14.41,1
INSP000082,CON00041,344.48801129757044,316.24,8.2,0,0,0,0.6,17.14,0
INSP000083,CON00084,1145.0649439551148,1104.87,3.51,0,0,1,0.3,23.37,0
INSP000084,CON00860,399.9508080062645,433.99,-8.51,0,0,0,0.56,15.92,0
INSP000085,CON01395,1109.1570183289623,409.72,63.06,1,1,0,0.45,8.42,1
INSP000086,CON01612,1054.5911438014791,1112.59,-5.5,0,0,0,0.74,17.2,0
INSP000087,CON00633,224.21681153176382,207.76,7.34,0,0,0,0.57,22.4,0
INSP000088,CON00393,1063.7012378216064,852.77,19.83,0,0,0,0.46,24.32,0
INSP000089,CON01553,367.04722672011275,395.53,-7.76,0,0,0,0.2,29.65,0
INSP000090,CON00774,1163.3953787538965,1046.59,10.04,0,0,0,0.2,11.66,0
INSP000091,CON00897,1174.9858646119383,953.74,18.83,0,0,1,0.22,15.33,0
INSP000092,CON01982,878.3457415205172,885.28,-0.79,0,0,0,0.52,18.1,1
INSP000093,CON01578,411.73359396899065,376.41,8.58,0,0,0,0.63,11.63,0
INSP000094,CON00159,343.2511857535834,276.59,19.42,0,0,1,0.79,18.11,0
INSP000095,CON00289,1001.901017005848,918.44,8.33,0,0,1,0.74,20.54,0
INSP000096,CON01034,300.7039503138981,254.43,15.39,0,0,0,0.41,29.09,0
INSP000097,CON01716,513.0435249971409,79.78,84.45,1,1,0,0.49,21.84,1
INSP000098,CON00306,332.183368806674,274.18,17.46,0,0,0,0.77,6.46,0
INSP000099,CON00195,222.05971875263867,184.49,16.92,0,0,0,0.47,19.03,0
INSP000100,CON00672,535.9381548747388,470.98,12.12,0,0,0,0.21,18.31,0
INSP000101,CON01452,1139.1940333699688,1103.99,3.09,0,0,0,0.47,20.58,0
INSP000102,CON01583,625.2389588773688,589.91,5.65,0,0,0,0.62,25.61,0
INSP000103,CON00281,663.4027947443067,706.92,-6.56,0,0,0,0.46,27.21,0
INSP000104,CON01899,1082.001698961989,1102.88,-1.93,0,0,0,0.72,24.55,0
INSP000105,CON01621,1076.4353246075177,1098.5,-2.05,0,0,0,0.36,27.69,1
INSP000106,CON00725,1164.8001422953382,1125.43,3.38,0,0,0,0.73,20.82,0
INSP000107,CON00626,742.6765524759102,657.94,11.41,0,0,0,0.76,23.04,0
INSP000108,CON00943,150.3813830561352,158.26,-5.24,0,0,0,0.22,29.25,0
INSP000109,CON01538,235.59081261380027,73.32,68.88,1,1,0,0.61,28.6,1
INSP000110,CON01558,727.0411370381016,599.66,17.52,0,0,0,0.31,24.02,1
INSP000111,CON00699,290.53621658784414,289.98,0.19,0,0,0,0.78,25.51,0
INSP000112,CON01619,936.8229836927558,923.71,1.4,0,0,0,0.44,20.01,0
INSP000113,CON00834,578.6182245265773,610.1,-5.44,0,0,0,0.69,15.96,1
INSP000114,CON00658,606.4150965939289,547.11,9.78,0,0,0,0.58,9.79,1
INSP000115,CON00508,154.9869125243452,145.25,6.28,0,0,0,0.21,21.47,1
INSP000116,CON00832,412.87153245786175,361.1,12.54,0,0,0,0.74,17.36,0
INSP000117,CON01385,661.2608332589872,535.75,18.98,0,0,0,0.42,21.91,0
INSP000118,CON00100,433.57428280848086,381.85,11.93,0,0,0,0.74,5.32,1
INSP000119,CON01753,960.0522071921345,1004.69,-4.65,0,0,0,0.79,15.83,0
INSP000120,CON01028,267.8414884599096,233.18,12.94,0,0,1,0.79,28.76,0
INSP000121,CON00311,355.8599895824998,77.68,78.17,1,1,1,0.45,19.98,0
INSP000122,CON01852,582.2501091190917,506.85,12.95,0,0,0,0.22,23.13,0
INSP000123,CON00691,391.75838311150596,318.34,18.74,0,0,0,0.46,11.91,1
INSP000124,CON01784,882.2704743367879,929.12,-5.31,0,0,0,0.29,5.07,0
INSP000125,CON01917,1053.4344577982506,1059.02,-0.53,0,0,0,0.21,22.5,0
INSP000126,CON00081,1140.1623606870223,1136.97,0.28,0,0,0,0.35,18.8,0
INSP000127,CON00107,335.0753468360919,303.75,9.35,0,0,0,0.63,9.4,0
INSP000128,CON00996,936.2441865286706,813.97,13.06,0,0,0,0.43,14.6,1
INSP000129,CON01667,1160.5904533392013,1162.22,-0.14,0,0,0,0.46,19.28,0
INSP000130,CON01717,646.0003309989032,520.35,19.45,0,0,0,0.5,13.69,0
INSP000131,CON00194,823.6448205405362,699.19,15.11,0,0,0,0.54,20.47,0
INSP000132,CON00986,1113.6534677013492,1083.03,2.75,0,0,1,0.78,21.79,0
INSP000133,CON00705,522.8213628043325,256.18,51.0,1,1,0,0.24,8.62,1
INSP000134,CON00499,1036.8147907505186,1008.72,2.71,0,0,0,0.28,17.13,0
INSP000135,CON01143,1036.8034679211155,908.86,12.34,0,0,0,0.66,26.05,0
INSP000136,CON00313,155.11213104397547,158.25,-2.02,0,0,0,0.38,29.87,0
INSP000137,CON01422,124.47163012178262,122.85,1.3,0,0,0,0.75,8.14,0
INSP000138,CON00729,105.56263983020932,111.64,-5.76,0,0,0,0.23,8.88,1
INSP000139,CON01109,460.9325889428594,389.07,15.59,0,0,1,0.57,15.62,0
INSP000140,CON01074,858.0732974355224,724.73,15.54,0,0,0,0.34,22.7,0
INSP000141,CON00122,339.4048791080904,349.55,-2.99,0,0,1,0.4,12.14,0
INSP000142,CON00381,930.8024236317069,877.75,5.7,0,0,0,0.57,14.89,0
INSP000143,CON01770,1168.835606307978,1273.68,-8.97,0,0,0,0.36,16.1,0
INSP000144,CON00116,714.990444152907,592.73,17.1,0,0,0,0.33,6.96,0
INSP000145,CON00917,761.4470932791855,153.05,79.9,1,1,0,0.33,27.73,1
INSP000146,CON01355,611.6467101989595,539.17,11.85,0,0,0,0.39,22.02,0
INSP000147,CON01445,827.0492033706751,664.86,19.61,0,0,0,0.55,19.43,0
INSP000148,CON00213,510.19386556700334,434.28,14.88,0,0,0,0.71,16.25,0
INSP000149,CON01658,305.27656081118647,307.87,-0.85,0,0,0,0.76,23.16,0
INSP000150,CON00814,797.2284478926133,778.02,2.41,0,0,1,0.45,29.57,0
INSP000151,CON01808,564.3438300069658,471.79,16.4,0,0,0,0.61,8.15,0
INSP000152,CON00463,438.3242099800065,412.42,5.91,0,0,0,0.59,9.82,1
INSP000153,CON00175,663.9015861656027,573.94,13.55,0,0,1,0.7,16.06,0
INSP000154,CON01434,1132.3753632240998,1160.57,-2.49,0,0,0,0.26,16.35,0
INSP000155,CON01078,492.252665841693,463.9,5.76,0,0,0,0.62,25.95,0
INSP000156,CON01627,202.68646322826694,195.8,3.4,0,0,0,0.26,27.77,0
INSP000157,CON01377,370.3958694987125,201.94,45.48,1,1,0,0.44,20.11,1
INSP000158,CON01264,326.64883861192817,348.86,-6.8,0,0,0,0.64,6.48,0
INSP000159,CON00971,765.1277179461315,684.56,10.53,0,0,0,0.33,6.27,0
INSP000160,CON01902,334.0605674767128,295.78,11.46,0,0,0,0.6,25.04,0
INSP000161,CON00986,1135.0366852316165,1123.57,1.01,0,0,0,0.73,9.1,0
INSP000162,CON00798,458.7048971447863,489.35,-6.68,0,0,0,0.57,15.85,0
INSP000163,CON00860,638.6094101613296,699.34,-9.51,0,0,0,0.41,22.79,0
INSP000164,CON00258,979.3843479720895,869.99,11.17,0,0,0,0.77,7.58,0
INSP000165,CON00534,966.9296904544851,891.61,7.79,0,0,0,0.6,27.88,1
INSP000166,CON00970,1145.1171215295276,1031.52,9.92,0,0,1,0.8,26.99,0
INSP000167,CON00946,840.8654560553254,885.43,-5.3,0,0,0,0.63,14.89,0
INSP000168,CON00129,1190.6202176448958,1268.37,-6.53,0,0,0,0.7,26.14,0
INSP000169,CON01986,436.429050712756,160.47,63.23,1,1,0,0.54,16.5,1
INSP000170,CON01593,296.3226434791123,308.41,-4.08,0,0,0,0.24,7.28,0
INSP000171,CON01310,186.4442142392473,180.7,3.08,0,0,0,0.4,7.67,0
INSP000172,CON00467,941.7227920078013,811.95,13.78,0,0,0,0.43,15.23,0
INSP000173,CON00806,232.64599433582367,241.63,-3.86,0,0,0,0.28,11.72,0
INSP000174,CON00052,887.3945036428626,883.22,0.47,0,0,0,0.56,19.36,0
INSP000175,CON01729,1074.6855467770074,934.98,13.0,0,0,0,0.54,5.27,0
INSP000176,CON00349,977.4928174791144,956.38,2.16,0,0,0,0.47,8.02,0
INSP000177,CON00931,753.8815171088412,699.98,7.15,0,0,1,0.76,15.78,1
INSP000178,CON01217,1139.3412379503984,1181.61,-3.71,0,0,0,0.26,11.1,0
INSP000179,CON01796,1005.726517833846,843.7,16.11,0,0,0,0.22,27.89,0
INSP000180,CON00535,157.46607665256414,157.97,-0.32,0,0,0,0.42,13.74,0
INSP000181,CON01168,514.5833594267658,187.57,63.55,1,1,0,0.61,22.84,1
INSP000182,CON01188,253.70212025762498,264.05,-4.08,0,0,0,0.57,15.26,0
INSP000183,CON01800,503.7101274725591,522.75,-3.78,0,0,0,0.74,20.64,0
INSP000184,CON00505,884.7416220398073,857.05,3.13,0,0,1,0.34,11.93,1
INSP000185,CON00438,264.21647400655627,275.16,-4.14,0,0,0,0.3,29.29,0
INSP000186,CON00562,949.1226889392094,761.2,19.8,0,0,0,0.37,8.77,0
INSP000187,CON00846,490.234144456891,456.6,6.86,0,0,0,0.62,5.56,0
INSP000188,CON00630,634.3853112407596,685.9,-8.12,0,0,0,0.77,11.14,0
INSP000189,CON01491,469.16642220323297,503.27,-7.27,0,0,0,0.58,10.9,0
INSP000190,CON01345,1172.3815459417847,1127.13,3.86,0,0,0,0.2,5.63,0
INSP000191,CON01611,490.449718582296,532.04,-8.48,0,0,0,0.7,16.65,1
INSP000192,CON01946,324.3848066363502,284.16,12.4,0,0,0,0.46,15.19,1
INSP000193,CON01179,545.4840710473786,145.64,73.3,1,1,0,0.43,20.19,0
INSP000194,CON00125,896.5198852371906,782.75,12.69,0,0,0,0.68,12.35,0
INSP000195,CON01739,673.1199096758497,588.37,12.59,0,0,0,0.3,15.26,0
INSP000196,CON01308,605.2869709569914,632.46,-4.49,0,0,0,0.53,9.66,0
INSP000197,CON01453,433.2538279326704,360.42,16.81,0,0,0,0.6,21.88,0
INSP000198,CON00800,1046.7518028003976,888.69,15.1,0,0,0,0.74,29.39,0
INSP000199,CON00629,234.36391113894572,219.97,6.14,0,0,0,0.32,8.59,0
INSP000200,CON01532,784.4809133166691,804.49,-2.55,0,0,0,0.48,28.26,0
INSP000201,CON00706,833.038838269366,690.51,17.11,0,0,0,0.45,14.36,0
INSP000202,CON01010,196.66200432703448,171.04,13.03,0,0,0,0.43,27.55,0
INSP000203,CON00052,439.5656630115655,482.86,-9.85,0,0,0,0.8,8.11,0
INSP000204,CON00551,1098.447777658066,1077.91,1.87,0,0,0,0.49,22.57,0
INSP000205,CON01542,503.4962900389675,201.25,60.03,1,1,0,0.53,27.16,1
INSP000206,CON00655,863.1874606454619,795.86,7.8,0,0,0,0.76,28.89,0
INSP000207,CON00308,371.2606843339981,380.28,-2.43,0,0,0,0.75,22.28,0
INSP000208,CON00819,890.3507676824224,739.79,16.91,0,0,0,0.56,25.87,0
INSP000209,CON00456,1120.7018158977796,1182.12,-5.48,0,0,0,0.78,15.58,0
INSP000210,CON01240,156.21492840811382,159.48,-2.09,0,0,0,0.45,16.4,0
INSP000211,CON01106,1062.3810159003103,1092.98,-2.88,0,0,0,0.34,13.52,0
INSP000212,CON00662,594.8510371576972,628.1,-5.59,0,0,0,0.79,13.31,0
INSP000213,CON01078,305.8123700879576,303.64,0.71,0,0,0,0.73,22.13,0
INSP000214,CON00308,361.3641626524522,371.92,-2.92,0,0,0,0.77,24.46,0
INSP000215,CON01725,216.27607758828515,204.88,5.27,0,0,0,0.25,22.96,0
INSP000216,CON00470,405.8244728024891,332.17,18.15,0,0,1,0.31,28.06,0
INSP000217,CON01362,616.2908274062913,327.31,46.89,1,1,0,0.54,21.53,1
INSP000218,CON00960,276.27028133158626,239.25,13.4,0,0,0,0.31,23.79,0
INSP000219,CON00686,341.7255064680741,290.64,14.95,0,0,0,0.35,29.49,0
INSP000220,CON00702,145.3477840033747,156.68,-7.8,0,0,0,0.72,8.03,0
INSP000221,CON00785,255.15125698186893,253.26,0.74,0,0,0,0.46,12.78,0
INSP000222,CON01883,839.6609881193457,707.58,15.73,0,0,0,0.76,13.91,0
INSP000223,CON00865,968.980700906116,895.73,7.56,0,0,0,0.51,14.23,0
INSP000224,CON00521,1083.972111423509,1013.73,6.48,0,0,0,0.52,9.15,0
INSP000225,CON01267,802.7293664358166,802.81,-0.01,0,0,0,0.42,7.8,0
INSP000226,CON00143,1109.1974075892958,1195.16,-7.75,0,0,0,0.27,29.92,0
INSP000227,CON00905,550.0311095877744,552.07,-0.37,0,0,0,0.61,19.08,1
INSP000228,CON00845,1039.4028301773942,1133.26,-9.03,0,0,0,0.39,11.48,0
INSP000229,CON01422,300.71004134964346,127.29,57.67,1,1,0,0.2,14.18,1
INSP000230,CON00831,472.26264065502016,388.39,17.76,0,0,0,0.55,25.25,0
INSP000231,CON01057,830.1635697522959,709.62,14.52,0,0,0,0.61,20.77,0
INSP000232,CON01525,900.6728138553652,941.56,-4.54,0,0,0,0.77,27.88,0
INSP000233,CON00845,308.9933182039372,301.73,2.35,0,0,0,0.6,20.84,0
INSP000234,CON01965,813.8760018862321,705.79,13.28,0,0,0,0.28,21.01,0
INSP000235,CON01856,1026.4902447529014,832.38,18.91,0,0,0,0.74,23.98,0
INSP000236,CON00086,457.1631547042596,425.16,7.0,0,0,0,0.64,12.83,1
INSP000237,CON00605,1039.7797896264683,1049.14,-0.9,0,0,0,0.38,23.54,0
INSP000238,CON01613,340.6664730644444,319.89,6.1,0,0,0,0.65,7.59,0
INSP000239,CON00661,1046.1694871809837,850.75,18.68,0,0,0,0.63,27.62,0
INSP000240,CON00365,1166.2879064853555,1029.6,11.72,0,0,0,0.73,10.4,0
INSP000241,CON01146,686.1579804706328,376.15,45.18,1,1,0,0.43,13.45,1
INSP000242,CON01114,1056.512017787878,931.21,11.86,0,0,0,0.55,26.82,0
INSP000243,CON00204,750.0668079049059,666.21,11.18,0,0,0,0.61,23.79,0
INSP000244,CON01574,1107.9160066357567,954.14,13.88,0,0,0,0.76,16.78,0
INSP000245,CON00870,645.2170056649338,567.92,11.98,0,0,1,0.69,11.97,0
INSP000246,CON01530,744.9695853506264,759.2,-1.91,0,0,1,0.55,22.34,0
INSP000247,CON01234,350.0659721648948,281.84,19.49,0,0,0,0.24,5.75,0
INSP000248,CON00587,188.8641744042312,171.94,8.96,0,0,0,0.45,13.48,0
INSP000249,CON00964,1070.5168769903107,907.05,15.27,0,0,0,0.56,6.47,0
INSP000250,CON01539,907.5528966739627,996.04,-9.75,0,0,0,0.27,17.15,0
INSP000251,CON01215,745.7415250717834,757.97,-1.64,0,0,0,0.53,14.05,0
INSP000252,CON00734,453.2914216611447,377.59,16.7,0,0,0,0.74,11.49,0
INSP000253,CON01524,206.82686126786945,109.16,47.22,1,1,0,0.58,17.27,1
INSP000254,CON00862,957.1033665501749,966.58,-0.99,0,0,0,0.46,20.51,0
INSP000255,CON01204,472.1457010927302,512.14,-8.47,0,0,0,0.28,17.1,1
INSP000256,CON01076,230.82146169035235,245.22,-6.24,0,0,0,0.5,26.55,0
INSP000257,CON00847,445.1718329629838,429.23,3.58,0,0,0,0.39,18.8,0
INSP000258,CON01814,727.615468904331,724.63,0.41,0,0,0,0.6,18.71,0
INSP000259,CON00954,827.3007919132051,678.72,17.96,0,0,0,0.21,29.55,0
INSP000260,CON01596,454.04395140037406,459.76,-1.26,0,0,0,0.39,27.43,0
INSP000261,CON01977,1006.3530133058408,880.66,12.49,0,0,0,0.61,23.78,0
INSP000262,CON00559,876.5927791150511,923.49,-5.35,0,0,0,0.45,29.27,1
INSP000263,CON00234,484.80432616030004,532.65,-9.87,0,0,0,0.33,16.77,0
INSP000264,CON00679,1099.9692025275972,1070.27,2.7,0,0,0,0.67,25.8,0
INSP000265,CON00127,101.52647449068967,28.36,72.07,1,1,0,0.46,6.22,1
INSP000266,CON01005,1073.5816786341918,936.16,12.8,0,0,0,0.21,29.5,0
INSP000267,CON01723,830.0390755302041,897.36,-8.11,0,0,0,0.56,29.26,0
INSP000268,CON01810,835.0004829944171,769.79,7.81,0,0,0,0.54,29.57,0
INSP000269,CON00785,916.9498195634749,959.77,-4.67,0,0,0,0.28,18.19,0
INSP000270,CON00890,386.53055438924514,365.74,5.38,0,0,1,0.35,6.83,0
INSP000271,CON01196,864.6559920373383,720.0,16.73,0,0,0,0.68,12.29,0
INSP000272,CON00024,434.43965266594944,472.71,-8.81,0,0,0,0.75,15.69,0
INSP000273,CON00294,377.49943729628797,346.51,8.21,0,0,0,0.8,15.63,0
INSP000274,CON00865,422.63942449905136,408.52,3.34,0,0,0,0.48,25.46,0
INSP000275,CON01045,325.1429208602275,349.4,-7.46,0,0,0,0.45,17.04,0
INSP000276,CON00797,954.8285280623679,816.19,14.52,0,0,0,0.59,20.29,0
INSP000277,CON01256,1156.956274843755,184.07,84.09,1,1,0,0.61,14.44,1
INSP000278,CON00865,184.5428705514832,158.25,14.25,0,0,0,0.24,16.47,0
INSP000279,CON00050,688.9268542390934,704.5,-2.26,0,0,0,0.39,9.83,1
INSP000280,CON00580,875.0310034040909,882.38,-0.84,0,0,0,0.63,13.21,0
INSP000281,CON01551,411.15265222155585,363.34,11.63,0,0,0,0.3,22.22,0
INSP000282,CON00522,457.0760112176718,418.22,8.5,0,0,0,0.61,9.51,0
INSP000283,CON01772,309.37150740213883,308.41,0.31,0,0,0,0.45,5.78,0
INSP000284,CON01808,474.6822668074309,487.88,-2.78,0,0,0,0.27,22.43,1
INSP000285,CON00854,627.6654303197472,626.85,0.13,0,0,0,0.48,26.97,0
INSP000286,CON01237,223.41118489706233,195.24,12.61,0,0,0,0.48,16.47,0
INSP000287,CON01702,260.02071802614523,223.25,14.14,0,0,0,0.59,27.79,0
INSP000288,CON01391,398.15658288944644,397.16,0.25,0,0,0,0.35,18.76,0
INSP000289,CON00315,295.7580810153752,93.9,68.25,1,1,0,0.6,15.31,0
INSP000290,CON01763,1156.153516618003,1254.43,-8.5,0,0,0,0.79,16.41,0
INSP000291,CON01076,127.81291670090138,126.99,0.64,0,0,0,0.62,14.52,0
INSP000292,CON01535,356.15110662307933,334.82,5.99,0,0,0,0.47,14.36,0
INSP000293,CON01242,488.8392672472274,402.51,17.66,0,0,0,0.34,28.19,0
INSP000294,CON01932,928.3645956949628,1006.16,-8.38,0,0,0,0.31,8.54,1
INSP000295,CON00182,490.60307611210504,425.94,13.18,0,0,0,0.34,12.85,0
INSP000296,CON01455,675.0370874026743,621.37,7.95,0,0,0,0.77,28.04,0
INSP000297,CON01779,151.41027809034222,152.7,-0.85,0,0,0,0.39,7.93,0
INSP000298,CON01480,456.7398482700129,401.11,12.18,0,0,0,0.31,5.79,0
INSP000299,CON00382,943.168372425975,999.0,-5.92,0,0,0,0.57,9.49,0
INSP000300,CON00291,926.1073561979382,829.42,10.44,0,0,0,0.32,11.95,0
INSP000301,CON00955,552.8388101669298,300.52,45.64,1,1,0,0.39,7.6,1
INSP000302,CON00458,944.3923013516807,972.91,-3.02,0,0,1,0.58,26.15,0
INSP000303,CON01927,559.873727150383,570.79,-1.95,0,0,0,0.54,15.05,0
INSP000304,CON01947,489.80031711085644,526.63,-7.52,0,0,0,0.37,23.57,0
INSP000305,CON00744,287.7235768512606,293.33,-1.95,0,0,0,0.67,25.5,1
INSP000306,CON00350,398.6469836131883,346.58,13.06,0,0,0,0.77,28.81,0
INSP000307,CON00334,656.4399080876248,719.33,-9.58,0,0,0,0.63,24.96,1
INSP000308,CON01658,878.1117711694567,842.72,4.03,0,0,0,0.55,6.64,0
INSP000309,CON00097,182.52333142854837,172.81,5.32,0,0,1,0.77,22.92,0
INSP000310,CON01823,1128.4439482163555,984.23,12.78,0,0,0,0.27,13.48,0
INSP000311,CON01941,336.9858864714855,277.84,17.55,0,0,0,0.29,11.56,0
INSP000312,CON00762,198.01437059427963,173.94,12.16,0,0,1,0.63,10.52,0
INSP000313,CON01068,357.07422893052535,97.48,72.7,1,1,0,0.35,20.93,1
INSP000314,CON01364,594.8438271243474,529.83,10.93,0,0,0,0.37,20.69,0
INSP000315,CON01104,759.2530382459922,809.14,-6.57,0,0,0,0.45,25.62,0
INSP000316,CON00010,723.7448186224731,619.16,14.45,0,0,0,0.74,5.31,0
