Reading_ID,Consumer_ID,Reading_Date,Units_Consumed,Voltage,Current,Power_Factor,Meter_Status
RD0000066,CON00006,2025-06-05,136,221.5,0.66,0.94,Normal
RD0000067,CON00006,2025-07-06,136,225.5,0.71,0.88,Normal
RD0000068,CON00006,2025-08-06,199,238.0,0.98,0.93,Normal
RD0000069,CON00006,2025-09-06,178,224.5,0.93,0.87,Normal
RD0000070,CON00006,2025-10-07,107,215.6,0.54,0.91,Normal
RD0000071,CON00006,2025-11-07,158,225.4,0.81,0.89,Normal
RD0000072,CON00006,2025-12-08,109,236.8,0.54,0.92,Normal
RD0000073,CON00007,2025-01-01,104,234.0,0.51,0.94,Normal
RD0000074,CON00007,2025-02-01,149,228.1,0.71,0.96,Normal
RD0000075,CON00007,2025-03-04,172,226.9,0.9,0.87,Normal
RD0000076,CON00007,2025-04-04,118,240.8,0.57,0.94,Normal
RD0000077,CON00007,2025-05-05,130,226.2,0.61,0.97,Normal
RD0000078,CON00007,2025-06-05,142,220.9,0.75,0.86,Normal
RD0000079,CON00007,2025-07-06,196,227.9,0.95,0.94,Normal
RD0000080,CON00007,2025-08-06,172,222.8,0.84,0.94,Normal
RD0000081,CON00007,2025-09-06,151,237.1,0.73,0.95,Normal
RD0000082,CON00007,2025-10-07,82,228.8,0.39,0.96,Normal
RD0000083,CON00007,2025-11-07,131,226.4,0.62,0.96,Normal
RD0000084,CON00007,2025-12-08,115,212.5,0.54,0.98,Normal
RD0000085,CON00008,2025-01-01,3169,238.2,16.63,0.87,Normal
RD0000086,CON00008,2025-02-01,2684,225.4,13.47,0.91,Normal
RD0000087,CON00008,2025-03-04,4902,213.7,23.56,0.95,Normal
RD0000088,CON00008,2025-04-04,3098,238.3,14.58,0.97,Normal
RD0000089,CON00008,2025-05-05,5011,233.4,24.09,0.95,Normal
RD0000090,CON00008,2025-06-05,3470,232.2,17.22,0.92,Normal
RD0000091,CON00008,2025-07-06,4951,227.6,23.07,0.98,Normal
RD0000092,CON00008,2025-08-06,4874,254.7,22.94,0.97,Normal
RD0000093,CON00008,2025-09-06,4381,231.8,22.23,0.9,Normal
RD0000094,CON00008,2025-10-07,3469,217.8,16.5,0.96,Normal
RD0000095,CON00008,2025-11-07,3248,232.0,17.25,0.86,Normal
RD0000096,CON00008,2025-12-08,2517,240.9,12.36,0.93,Normal
RD0000097,CON00009,2025-01-01,729,240.7,3.66,0.91,Normal
RD0000098,CON00009,2025-02-01,605,220.8,2.97,0.93,Normal
RD0000099,CON00009,2025-03-04,742,222.5,3.94,0.86,Normal
RD0000100,CON00009,2025-04-04,316,221.8,1.64,0.88,Normal
RD0000101,CON00009,2025-05-05,533,227.4,2.59,0.94,Normal
RD0000102,CON00009,2025-06-05,514,235.2,2.42,0.97,Normal
RD0000103,CON00009,2025-07-06,571,222.6,2.96,0.88,Normal
RD0000104,CON00009,2025-08-06,847,230.6,3.99,0.97,Normal
RD0000105,CON00009,2025-09-06,599,239.0,3.14,0.87,Normal
RD0000106,CON00009,2025-10-07,482,244.8,2.53,0.87,Normal
RD0000107,CON00009,2025-11-07,623,224.8,2.99,0.95,Normal
RD0000108,CON00009,2025-12-08,782,230.8,4.06,0.88,Normal
RD0000109,CON00010,2025-01-01,678,214.3,3.37,0.92,Normal
RD0000110,CON00010,2025-02-01,395,227.5,1.88,0.96,Normal
RD0000111,CON00010,2025-03-04,569,239.5,2.76,0.94,Normal
RD0000112,CON00010,2025-04-04,433,242.9,2.08,0.95,Normal
RD0000113,CON00010,2025-05-05,742,207.2,3.53,0.96,Normal
RD0000114,CON00010,2025-06-05,759,220.6,3.73,0.93,Normal
RD0000115,CON00010,2025-07-06,651,238.0,3.34,0.89,Normal
RD0000116,CON00010,2025-08-06,631,230.3,3.27,0.88,Normal
RD0000117,CON00010,2025-09-06,623,225.2,2.93,0.97,Normal
RD0000118,CON00010,2025-10-07,705,240.2,3.39,0.95,Normal
RD0000119,CON00010,2025-11-07,501,237.2,2.51,0.91,Normal
RD0000120,CON00010,2025-12-08,502,225.3,2.44,0.94,Normal
RD0000121,CON00011,2025-01-01,99,230.8,0.53,0.85,Normal
RD0000122,CON00011,2025-02-01,147,225.7,0.78,0.86,Normal
RD0000123,CON00011,2025-03-04,187,240.7,1.0,0.85,Normal
RD0000124,CON00011,2025-04-04,152,228.9,0.75,0.93,Normal
RD0000125,CON00011,2025-05-05,205,229.2,0.98,0.96,Normal
RD0000126,CON00011,2025-06-05,124,226.8,0.64,0.88,Normal
RD0000127,CON00011,2025-07-06,148,233.8,0.76,0.89,Normal
RD0000128,CON00011,2025-08-06,117,223.1,0.57,0.93,Normal
RD0000129,CON00011,2025-09-06,174,220.2,0.93,0.85,Normal
RD0000130,CON00011,2025-10-07,170,227.0,0.82,0.95,Normal
RD0000131,CON00011,2025-11-07,96,230.1,0.47,0.93,Normal
RD0000132,CON00011,2025-12-08,147,239.0,0.68,0.98,Normal
RD0000133,CON00012,2025-01-01,51,237.8,0.26,0.9,Normal
RD0000134,CON00012,2025-02-01,57,242.3,0.27,0.97,Normal
RD0000135,CON00012,2025-03-04,54,226.0,0.27,0.9,Normal
RD0000136,CON00012,2025-04-04,62,227.3,0.3,0.94,Normal
RD0000137,CON00012,2025-05-05,67,231.6,0.32,0.96,Normal
RD0000138,CON00012,2025-06-05,49,238.8,0.25,0.89,Normal
RD0000139,CON00012,2025-07-06,33,220.0,0.16,0.92,Normal
RD0000140,CON00012,2025-08-06,36,239.6,0.19,0.85,Normal
RD0000141,CON00012,2025-09-06,42,235.1,0.2,0.94,Normal
RD0000142,CON00012,2025-10-07,44,224.1,0.22,0.91,Normal
RD0000143,CON00012,2025-11-07,57,236.9,0.28,0.92,Normal
RD0000144,CON00012,2025-12-08,55,230.5,0.29,0.88,Normal
RD0000145,CON00013,2025-01-01,430,223.4,2.26,0.87,Normal
RD0000146,CON00013,2025-02-01,524,225.2,2.44,0.98,Normal
RD0000147,CON00013,2025-03-04,693,235.3,3.23,0.98,Normal
RD0000148,CON00013,2025-04-04,656,227.1,3.15,0.95,Normal
RD0000149,CON00013,2025-05-05,301,224.1,1.42,0.97,Normal
RD0000150,CON00013,2025-06-05,736,244.9,3.73,0.9,Normal
RD0000151,CON00013,2025-07-06,643,225.8,3.23,0.91,Normal
RD0000152,CON00013,2025-08-06,689,228.1,3.53,0.89,Normal
RD0000153,CON00013,2025-09-06,602,226.8,2.96,0.93,Normal
RD0000154,CON00013,2025-10-07,821,237.9,3.99,0.94,Normal
RD0000155,CON00013,2025-11-07,677,215.6,3.15,0.98,Normal
RD0000156,CON00013,2025-12-08,584,234.1,2.81,0.95,Normal
RD0000157,CON00014,2025-01-01,119,234.9,0.63,0.86,Normal
RD0000158,CON00014,2025-02-01,118,228.3,0.56,0.97,Normal
RD0000159,CON00014,2025-03-04,172,231.0,0.85,0.92,Normal
RD0000160,CON00014,2025-04-04,141,241.1,0.72,0.89,Normal
RD0000161,CON00014,2025-05-05,167,234.8,0.78,0.98,Normal
RD0000162,CON00014,2025-06-05,165,233.2,0.89,0.85,Normal
RD0000163,CON00014,2025-07-06,168,242.0,0.88,0.87,Normal
RD0000164,CON00014,2025-08-06,173,214.9,0.82,0.96,Normal
RD0000165,CON00014,2025-09-06,169,233.8,0.85,0.91,Normal
RD0000166,CON00014,2025-10-07,197,218.3,1.03,0.87,Normal
RD0000167,CON00014,2025-11-07,128,245.3,0.6,0.97,Normal
RD0000168,CON00014,2025-12-08,146,217.9,0.71,0.94,Normal
RD0000169,CON00015,2025-01-01,154,223.8,0.72,0.97,Normal
RD0000170,CON00015,2025-02-01,163,223.8,0.82,0.91,Normal
RD0000171,CON00015,2025-03-04,183,236.8,0.96,0.87,Normal
RD0000172,CON00015,2025-04-04,162,228.6,0.82,0.9,Normal
RD0000173,CON00015,2025-05-05,173,238.1,0.85,0.93,Normal
RD0000174,CON00015,2025-06-05,45,227.2,0.29,0.71,Tampered
RD0000175,CON00015,2025-07-06,49,229.4,0.3,0.74,Tampered
RD0000176,CON00015,2025-08-06,46,235.3,0.32,0.65,Tampered
RD0000177,CON00015,2025-09-06,35,237.7,0.22,0.74,Tampered
RD0000178,CON00015,2025-10-07,45,215.9,0.26,0.8,Tampered
RD0000179,CON00015,2025-11-07,39,221.9,0.23,0.77,Tampered
RD0000180,CON00015,2025-12-08,46,230.1,0.32,0.65,Tampered
RD0000181,CON00016,2025-01-01,133,248.2,0.7,0.87,Normal
RD0000182,CON00016,2025-02-01,151,228.6,0.71,0.97,Normal
RD0000183,CON00016,2025-03-04,140,245.0,0.69,0.92,Normal
RD0000184,CON00016,2025-04-04,118,225.7,0.56,0.96,Normal
RD0000185,CON00016,2025-05-05,202,232.3,1.06,0.87,Normal
RD0000186,CON00016,2025-06-05,137,244.6,0.71,0.88,Normal
RD0000187,CON00016,2025-07-06,163,232.1,0.78,0.96,Normal
RD0000188,CON00016,2025-08-06,124,227.0,0.62,0.92,Normal
RD0000189,CON00016,2025-09-06,102,234.1,0.48,0.97,Normal
RD0000190,CON00016,2025-10-07,189,222.8,0.91,0.95,Normal
RD0000191,CON00016,2025-11-07,151,228.9,0.8,0.86,Normal
RD0000192,CON00016,2025-12-08,109,238.6,0.55,0.9,Normal
RD0000193,CON00017,2025-01-01,102,225.5,0.52,0.89,Normal
RD0000194,CON00017,2025-02-01,220,235.7,1.1,0.91,Normal
RD0000195,CON00017,2025-03-04,147,218.2,0.75,0.89,Normal
RD0000196,CON00017,2025-04-04,182,241.5,0.91,0.91,Normal
RD0000197,CON00017,2025-05-05,108,235.5,0.52,0.94,Normal
RD0000198,CON00017,2025-06-05,182,241.0,0.98,0.85,Normal
RD0000199,CON00017,2025-07-06,156,228.3,0.84,0.85,Normal
RD0000200,CON00017,2025-08-06,108,227.6,0.57,0.86,Normal
RD0000201,CON00017,2025-09-06,148,221.5,0.73,0.93,Normal
RD0000202,CON00017,2025-10-07,136,231.5,0.7,0.89,Normal
RD0000203,CON00017,2025-11-07,130,228.5,0.61,0.97,Normal
RD0000204,CON00017,2025-12-08,154,231.2,0.77,0.91,Normal
RD0000205,CON00018,2025-01-01,125,202.7,0.63,0.91,Normal
RD0000206,CON00018,2025-02-01,127,219.2,0.64,0.91,Normal
RD0000207,CON00018,2025-03-04,190,228.4,0.9,0.96,Normal
RD0000208,CON00018,2025-04-04,134,230.2,0.65,0.94,Normal
RD0000209,CON00018,2025-05-05,181,228.8,0.91,0.91,Normal
RD0000210,CON00018,2025-06-05,145,217.6,0.73,0.91,Normal
RD0000211,CON00018,2025-07-06,206,233.4,1.03,0.91,Normal
RD0000212,CON00018,2025-08-06,85,219.6,0.42,0.92,Normal
RD0000213,CON00018,2025-09-06,140,235.9,0.73,0.87,Normal
RD0000214,CON00018,2025-10-07,148,228.1,0.78,0.87,Normal
RD0000215,CON00018,2025-11-07,210,231.8,1.12,0.86,Normal
RD0000216,CON00018,2025-12-08,114,236.2,0.55,0.94,Normal
RD0000217,CON00019,2025-01-01,164,226.9,0.82,0.91,Normal
RD0000218,CON00019,2025-02-01,175,240.7,0.85,0.94,Normal
RD0000219,CON00019,2025-03-04,185,230.1,0.9,0.94,Normal
RD0000220,CON00019,2025-04-04,150,245.3,0.79,0.87,Normal
RD0000221,CON00019,2025-05-05,119,222.1,0.62,0.88,Normal
RD0000222,CON00019,2025-06-05,159,237.5,0.8,0.91,Normal
RD0000223,CON00019,2025-07-06,107,244.3,0.54,0.9,Normal
RD0000224,CON00019,2025-08-06,202,238.5,1.01,0.91,Normal
RD0000225,CON00019,2025-09-06,142,224.8,0.72,0.9,Normal
RD0000226,CON00019,2025-10-07,108,223.4,0.54,0.92,Normal
RD0000227,CON00019,2025-11-07,152,244.2,0.8,0.87,Normal
RD0000228,CON00019,2025-12-08,143,233.9,0.67,0.97,Normal
RD0000229,CON00020,2025-01-01,156,234.6,0.81,0.88,Normal
RD0000230,CON00020,2025-02-01,133,225.3,0.68,0.89,Normal
RD0000231,CON00020,2025-03-04,205,231.0,0.97,0.97,Normal
RD0000232,CON00020,2025-04-04,145,226.0,0.69,0.96,Normal
RD0000233,CON00020,2025-05-05,171,237.4,0.86,0.91,Normal
RD0000234,CON00020,2025-06-05,132,230.9,0.65,0.93,Normal
RD0000235,CON00020,2025-07-06,198,227.7,0.96,0.94,Normal
RD0000236,CON00020,2025-08-06,125,234.1,0.59,0.97,Normal
RD0000237,CON00020,2025-09-06,155,226.1,0.74,0.96,Normal
RD0000238,CON00020,2025-10-07,182,226.1,0.87,0.95,Normal
RD0000239,CON00020,2025-11-07,135,224.8,0.65,0.95,Normal
RD0000240,CON00020,2025-12-08,124,218.8,0.66,0.86,Normal
RD0000241,CON00021,2025-01-01,397,224.5,1.87,0.97,Normal
RD0000242,CON00021,2025-02-01,672,228.8,3.37,0.91,Normal
RD0000243,CON00021,2025-03-04,760,227.2,3.94,0.88,Normal
RD0000244,CON00021,2025-04-04,655,215.4,3.36,0.89,Normal
RD0000245,CON00021,2025-05-05,437,220.5,2.35,0.85,Normal
RD0000246,CON00021,2025-06-05,514,237.5,2.61,0.9,Normal
RD0000247,CON00021,2025-07-06,594,233.9,2.83,0.96,Normal
RD0000248,CON00021,2025-08-06,560,233.6,3.01,0.85,Normal
RD0000249,CON00021,2025-09-06,429,231.2,2.2,0.89,Normal
RD0000250,CON00021,2025-10-07,363,227.4,1.78,0.93,Normal
RD0000251,CON00021,2025-11-07,530,233.6,2.55,0.95,Normal
RD0000252,CON00021,2025-12-08,413,221.4,2.07,0.91,Normal
RD0000253,CON00022,2025-01-01,181,225.5,0.95,0.87,Normal
RD0000254,CON00022,2025-02-01,110,231.8,0.58,0.87,Normal
RD0000255,CON00022,2025-03-04,134,231.2,0.7,0.88,Normal
RD0000256,CON00022,2025-04-04,126,245.3,0.64,0.9,Normal
RD0000257,CON00022,2025-05-05,141,232.0,0.72,0.89,Normal
RD0000258,CON00022,2025-06-05,149,216.8,0.71,0.96,Normal
RD0000259,CON00022,2025-07-06,120,216.7,0.6,0.91,Normal
RD0000260,CON00022,2025-08-06,105,243.0,0.52,0.93,Normal
RD0000261,CON00022,2025-09-06,158,240.3,0.84,0.86,Normal
RD0000262,CON00022,2025-10-07,155,238.6,0.73,0.97,Normal
RD0000263,CON00022,2025-11-07,122,225.1,0.61,0.92,Normal
RD0000264,CON00022,2025-12-08,162,221.9,0.8,0.92,Normal
RD0000265,CON00023,2025-01-01,200,228.9,1.04,0.88,Normal
RD0000266,CON00023,2025-02-01,187,223.8,0.89,0.96,Normal
RD0000267,CON00023,2025-03-04,169,227.3,0.79,0.98,Normal
RD0000268,CON00023,2025-04-04,129,241.7,0.65,0.91,Normal
RD0000269,CON00023,2025-05-05,104,239.5,0.55,0.87,Normal
RD0000270,CON00023,2025-06-05,169,218.6,0.8,0.97,Normal
RD0000271,CON00023,2025-07-06,169,227.1,0.87,0.89,Normal
RD0000272,CON00023,2025-08-06,129,226.4,0.63,0.93,Normal
RD0000273,CON00023,2025-09-06,113,211.1,0.61,0.85,Normal
RD0000274,CON00023,2025-10-07,207,231.6,0.97,0.97,Normal
RD0000275,CON00023,2025-11-07,210,221.7,1.0,0.96,Normal
RD0000276,CON00023,2025-12-08,144,218.4,0.68,0.97,Normal
RD0000277,CON00024,2025-01-01,167,230.0,0.8,0.95,Normal
RD0000278,CON00024,2025-02-01,134,217.8,0.71,0.86,Normal
RD0000279,CON00024,2025-03-04,154,240.8,0.81,0.87,Normal
RD0000280,CON00024,2025-04-04,163,240.4,0.79,0.94,Normal
RD0000281,CON00024,2025-05-05,200,230.5,1.0,0.91,Normal
RD0000282,CON00024,2025-06-05,130,235.2,0.69,0.86,Normal
RD0000283,CON00024,2025-07-06,168,232.8,0.82,0.93,Normal
RD0000284,CON00024,2025-08-06,172,225.1,0.9,0.87,Normal
RD0000285,CON00024,2025-09-06,129,238.9,0.66,0.89,Normal
RD0000286,CON00024,2025-10-07,138,233.9,0.65,0.97,Normal
RD0000287,CON00024,2025-11-07,153,228.9,0.73,0.96,Normal
RD0000288,CON00024,2025-12-08,170,233.2,0.9,0.86,Normal
RD0000289,CON00025,2025-01-01,140,238.5,0.72,0.89,Normal
RD0000290,CON00025,2025-02-01,152,234.0,0.72,0.96,Normal
RD0000291,CON00025,2025-03-04,116,220.6,0.56,0.94,Normal
RD0000292,CON00025,2025-04-04,105,229.8,0.53,0.9,Normal
RD0000293,CON00025,2025-05-05,117,229.3,0.57,0.93,Normal
RD0000294,CON00025,2025-06-05,194,223.2,1.04,0.85,Normal
RD0000295,CON00025,2025-07-06,154,230.0,0.76,0.92,Normal
RD0000296,CON00025,2025-08-06,102,222.8,0.53,0.88,Normal
RD0000297,CON00025,2025-09-06,108,228.6,0.56,0.88,Normal
RD0000298,CON00025,2025-10-07,210,224.6,1.0,0.96,Normal
RD0000299,CON00025,2025-11-07,136,220.7,0.64,0.97,Normal
RD0000300,CON00025,2025-12-08,142,246.1,0.75,0.87,Normal
RD0000301,CON00026,2025-01-01,650,227.6,3.26,0.91,Normal
RD0000302,CON00026,2025-02-01,808,239.3,4.05,0.91,Normal
RD0000303,CON00026,2025-03-04,476,225.7,2.31,0.94,Normal
RD0000304,CON00026,2025-04-04,430,232.5,2.02,0.97,Normal
RD0000305,CON00026,2025-05-05,665,228.2,3.37,0.9,Normal
RD0000306,CON00026,2025-06-05,689,232.5,3.58,0.88,Normal
RD0000307,CON00026,2025-07-06,755,233.2,3.83,0.9,Normal
RD0000308,CON00026,2025-08-06,572,230.0,3.04,0.86,Normal
RD0000309,CON00026,2025-09-06,591,227.5,3.03,0.89,Normal
RD0000310,CON00026,2025-10-07,597,224.5,2.93,0.93,Normal
RD0000311,CON00026,2025-11-07,402,223.6,1.95,0.94,Normal
RD0000312,CON00026,2025-12-08,651,231.5,3.16,0.94,Normal
RD0000313,CON00027,2025-01-01,141,220.4,0.71,0.91,Normal
RD0000314,CON00027,2025-02-01,94,232.0,0.46,0.94,Normal
RD0000315,CON00027,2025-03-04,160,229.8,0.81,0.9,Normal
RD0000316,CON00027,2025-04-04,170,227.5,0.85,0.91,Normal
RD0000317,CON00027,2025-05-05,155,219.5,0.8,0.89,Normal
RD0000318,CON00027,2025-06-05,165,236.5,0.8,0.94,Normal
RD0000319,CON00027,2025-07-06,131,243.4,0.64,0.93,Normal
RD0000320,CON00027,2025-08-06,145,224.3,0.73,0.91,Normal
RD0000321,CON00027,2025-09-06,140,231.4,0.73,0.88,Normal
RD0000322,CON00027,2025-10-07,202,225.7,1.0,0.92,Normal
RD0000323,CON00027,2025-11-07,144,230.3,0.73,0.9,Normal
RD0000324,CON00027,2025-12-08,109,225.6,0.52,0.96,Normal
RD0000325,CON00028,2025-01-01,140,226.4,0.67,0.96,Normal
RD0000326,CON00028,2025-02-01,132,233.2,0.69,0.87,Normal
RD0000327,CON00028,2025-03-04,144,225.3,0.68,0.96,Normal
RD0000328,CON00028,2025-04-04,136,232.1,0.66,0.94,Normal
RD0000329,CON00028,2025-05-05,132,233.2,0.62,0.97,Normal
RD0000330,CON00028,2025-06-05,163,228.8,0.8,0.93,Normal
RD0000331,CON00028,2025-07-06,145,232.9,0.77,0.86,Normal
RD0000332,CON00028,2025-08-06,170,226.3,0.89,0.87,Normal
RD0000333,CON00028,2025-09-06,161,230.2,0.8,0.92,Normal
RD0000334,CON00028,2025-10-07,118,232.5,0.57,0.95,Normal
RD0000335,CON00028,2025-11-07,195,229.2,1.02,0.87,Normal
RD0000336,CON00028,2025-12-08,197,218.0,1.05,0.86,Normal
RD0000337,CON00029,2025-01-01,156,225.1,0.84,0.85,Normal
RD0000338,CON00029,2025-02-01,151,219.5,0.78,0.88,Normal
RD0000339,CON00029,2025-03-04,184,222.6,0.94,0.89,Normal
RD0000340,CON00029,2025-04-04,131,230.0,0.69,0.87,Normal
RD0000341,CON00029,2025-05-05,124,223.0,0.61,0.93,Normal
RD0000342,CON00029,2025-06-05,44,230.4,0.26,0.77,Tampered
RD0000343,CON00029,2025-07-06,42,234.4,0.26,0.75,Tampered
RD0000344,CON00029,2025-08-06,42,220.2,0.27,0.72,Tampered
RD0000345,CON00029,2025-09-06,27,228.4,0.18,0.7,Tampered
RD0000346,CON00029,2025-10-07,33,235.1,0.19,0.78,Tampered
RD0000347,CON00029,2025-11-07,19,233.1,0.12,0.71,Tampered
RD0000348,CON00029,2025-12-08,35,234.7,0.21,0.75,Tampered
RD0000349,CON00030,2025-01-01,117,244.1,0.58,0.92,Normal
RD0000350,CON00030,2025-02-01,201,238.3,1.07,0.86,Normal
RD0000351,CON00030,2025-03-04,161,215.1,0.77,0.95,Normal
RD0000352,CON00030,2025-04-04,110,223.9,0.57,0.88,Normal
RD0000353,CON00030,2025-05-05,119,233.2,0.58,0.94,Normal
RD0000354,CON00030,2025-06-05,124,233.1,0.63,0.9,Normal
RD0000355,CON00030,2025-07-06,165,238.5,0.82,0.92,Normal
RD0000356,CON00030,2025-08-06,192,231.9,1.02,0.86,Normal
RD0000357,CON00030,2025-09-06,191,225.9,1.03,0.85,Normal
RD0000358,CON00030,2025-10-07,153,241.4,0.76,0.92,Normal
RD0000359,CON00030,2025-11-07,161,223.5,0.78,0.94,Normal
RD0000360,CON00030,2025-12-08,148,244.8,0.7,0.96,Normal
RD0000361,CON00031,2025-01-01,387,226.6,2.05,0.86,Normal
RD0000362,CON00031,2025-02-01,946,234.4,4.8,0.9,Normal
RD0000363,CON00031,2025-03-04,640,224.0,3.21,0.91,Normal
RD0000364,CON00031,2025-04-04,531,225.3,2.61,0.93,Normal
RD0000365,CON00031,2025-05-05,810,228.3,3.77,0.98,Normal
RD0000366,CON00031,2025-06-05,703,237.0,3.65,0.88,Normal
RD0000367,CON00031,2025-07-06,656,229.2,3.48,0.86,Normal
RD0000368,CON00031,2025-08-06,345,240.0,1.79,0.88,Normal
RD0000369,CON00031,2025-09-06,686,240.1,3.56,0.88,Normal
RD0000370,CON00031,2025-10-07,512,225.6,2.49,0.94,Normal
RD0000371,CON00031,2025-11-07,934,216.9,4.79,0.89,Normal
RD0000372,CON00031,2025-12-08,671,238.5,3.33,0.92,Normal
RD0000373,CON00032,2025-01-01,92,229.6,0.48,0.87,Normal
RD0000374,CON00032,2025-02-01,142,219.8,0.68,0.95,Normal
RD0000375,CON00032,2025-03-04,170,218.8,0.84,0.92,Normal
RD0000376,CON00032,2025-04-04,156,224.7,0.78,0.91,Normal
RD0000377,CON00032,2025-05-05,72,225.4,0.38,0.86,Normal
RD0000378,CON00032,2025-06-05,131,235.4,0.68,0.88,Normal
RD0000379,CON00032,2025-07-06,170,216.6,0.86,0.9,Normal
RD0000380,CON00032,2025-08-06,153,225.1,0.73,0.96,Normal
RD0000381,CON00032,2025-09-06,153,229.7,0.72,0.97,Normal
RD0000382,CON00032,2025-10-07,135,238.4,0.64,0.97,Normal
RD0000383,CON00032,2025-11-07,111,223.6,0.55,0.92,Normal
RD0000384,CON00032,2025-12-08,185,227.4,0.9,0.94,Normal
RD0000385,CON00033,2025-01-01,163,232.2,0.77,0.97,Normal
