Outage_ID,Feeder_ID,Start_Time,End_Time,Duration_Minutes,Cause,Area
OUT00059,FDR008,2026-03-15 10:00:00,2026-03-15 11:15:00,111,Weather,Velachery
OUT00060,FDR041,2026-03-15 10:00:00,2026-03-15 11:15:00,28,Line Fault,Adyar
OUT00061,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,125,Weather,Adyar
OUT00062,FDR050,2026-03-15 10:00:00,2026-03-15 11:15:00,50,Line Fault,Velachery
OUT00063,FDR029,2026-03-15 10:00:00,2026-03-15 11:15:00,139,Weather,Velachery
OUT00064,FDR046,2026-03-15 10:00:00,2026-03-15 11:15:00,42,Weather,Adyar
OUT00065,FDR002,2026-03-15 10:00:00,2026-03-15 11:15:00,158,Weather,Adyar
OUT00066,FDR026,2026-03-15 10:00:00,2026-03-15 11:15:00,29,Weather,Velachery
OUT00067,FDR008,2026-03-15 10:00:00,2026-03-15 11:15:00,38,Weather,Velachery
OUT00068,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,28,Line Fault,Adyar
OUT00069,FDR026,2026-03-15 10:00:00,2026-03-15 11:15:00,31,Line Fault,Adyar
OUT00070,FDR042,2026-03-15 10:00:00,2026-03-15 11:15:00,96,Equipment Failure,Velachery
OUT00071,FDR037,2026-03-15 10:00:00,2026-03-15 11:15:00,100,Weather,Anna Nagar
OUT00072,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,159,Line Fault,Anna Nagar
OUT00073,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,56,Equipment Failure,Adyar
OUT00074,FDR001,2026-03-15 10:00:00,2026-03-15 11:15:00,124,Weather,Velachery
OUT00075,FDR037,2026-03-15 10:00:00,2026-03-15 11:15:00,73,Line Fault,Anna Nagar
OUT00076,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,33,Equipment Failure,Velachery
OUT00077,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,20,Weather,Velachery
OUT00078,FDR003,2026-03-15 10:00:00,2026-03-15 11:15:00,150,Line Fault,Adyar
OUT00079,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,66,Weather,Anna Nagar
OUT00080,FDR019,2026-03-15 10:00:00,2026-03-15 11:15:00,75,Line Fault,Adyar
OUT00081,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,55,Weather,Adyar
OUT00082,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,165,Equipment Failure,Velachery
OUT00083,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,65,Weather,Adyar
OUT00084,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,128,Line Fault,Adyar
OUT00085,FDR024,2026-03-15 10:00:00,2026-03-15 11:15:00,39,Weather,Anna Nagar
OUT00086,FDR044,2026-03-15 10:00:00,2026-03-15 11:15:00,35,Weather,Anna Nagar
OUT00087,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,62,Equipment Failure,Velachery
OUT00088,FDR050,2026-03-15 10:00:00,2026-03-15 11:15:00,158,Equipment Failure,Velachery
OUT00089,FDR030,2026-03-15 10:00:00,2026-03-15 11:15:00,38,Equipment Failure,Velachery
OUT00090,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,82,Line Fault,Adyar
OUT00091,FDR039,2026-03-15 10:00:00,2026-03-15 11:15:00,38,Line Fault,Anna Nagar
OUT00092,FDR039,2026-03-15 10:00:00,2026-03-15 11:15:00,101,Weather,Velachery
OUT00093,FDR001,2026-03-15 10:00:00,2026-03-15 11:15:00,155,Weather,Adyar
OUT00094,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,64,Line Fault,Velachery
OUT00095,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,21,Equipment Failure,Anna Nagar
OUT00096,FDR029,2026-03-15 10:00:00,2026-03-15 11:15:00,131,Line Fault,Adyar
OUT00097,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,39,Equipment Failure,Velachery
OUT00098,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,56,Equipment Failure,Anna Nagar
OUT00099,FDR020,2026-03-15 10:00:00,2026-03-15 11:15:00,135,Weather,Anna Nagar
OUT00100,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,155,Weather,Adyar
OUT00101,FDR042,2026-03-15 10:00:00,2026-03-15 11:15:00,19,Line Fault,Anna Nagar
OUT00102,FDR018,2026-03-15 10:00:00,2026-03-15 11:15:00,88,Weather,Anna Nagar
OUT00103,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,111,Line Fault,Velachery
OUT00104,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,81,Equipment Failure,Velachery
OUT00105,FDR020,2026-03-15 10:00:00,2026-03-15 11:15:00,73,Weather,Anna Nagar
OUT00106,FDR047,2026-03-15 10:00:00,2026-03-15 11:15:00,85,Line Fault,Velachery
OUT00107,FDR046,2026-03-15 10:00:00,2026-03-15 11:15:00,154,Equipment Failure,Velachery
OUT00108,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,68,Equipment Failure,Adyar
OUT00109,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,178,Weather,Anna Nagar
OUT00110,FDR003,2026-03-15 10:00:00,2026-03-15 11:15:00,94,Weather,Adyar
OUT00111,FDR014,2026-03-15 10:00:00,2026-03-15 11:15:00,92,Line Fault,Anna Nagar
OUT00112,FDR011,2026-03-15 10:00:00,2026-03-15 11:15:00,16,Equipment Failure,Anna Nagar
OUT00113,FDR025,2026-03-15 10:00:00,2026-03-15 11:15:00,155,Weather,Adyar
OUT00114,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,178,Line Fault,Velachery
OUT00115,FDR010,2026-03-15 10:00:00,2026-03-15 11:15:00,71,Equipment Failure,Adyar
OUT00116,FDR010,2026-03-15 10:00:00,2026-03-15 11:15:00,176,Equipment Failure,Anna Nagar
OUT00117,FDR008,2026-03-15 10:00:00,2026-03-15 11:15:00,132,Weather,Anna Nagar
OUT00118,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,70,Equipment Failure,Velachery
OUT00119,FDR011,2026-03-15 10:00:00,2026-03-15 11:15:00,27,Weather,Velachery
OUT00120,FDR028,2026-03-15 10:00:00,2026-03-15 11:15:00,101,Line Fault,Anna Nagar
OUT00121,FDR031,2026-03-15 10:00:00,2026-03-15 11:15:00,46,Line Fault,Anna Nagar
OUT00122,FDR039,2026-03-15 10:00:00,2026-03-15 11:15:00,113,Weather,Anna Nagar
OUT00123,FDR028,2026-03-15 10:00:00,2026-03-15 11:15:00,67,Weather,Adyar
OUT00124,FDR025,2026-03-15 10:00:00,2026-03-15 11:15:00,119,Equipment Failure,Adyar
OUT00125,FDR026,2026-03-15 10:00:00,2026-03-15 11:15:00,26,Equipment Failure,Velachery
OUT00126,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,21,Weather,Anna Nagar
OUT00127,FDR042,2026-03-15 10:00:00,2026-03-15 11:15:00,135,Weather,Anna Nagar
OUT00128,FDR048,2026-03-15 10:00:00,2026-03-15 11:15:00,155,Line Fault,Anna Nagar
OUT00129,FDR011,2026-03-15 10:00:00,2026-03-15 11:15:00,103,Equipment Failure,Anna Nagar
OUT00130,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,29,Weather,Anna Nagar
OUT00131,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,147,Weather,Anna Nagar
OUT00132,FDR021,2026-03-15 10:00:00,2026-03-15 11:15:00,20,Equipment Failure,Velachery
OUT00133,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,67,Weather,Adyar
OUT00134,FDR016,2026-03-15 10:00:00,2026-03-15 11:15:00,15,Line Fault,Adyar
OUT00135,FDR014,2026-03-15 10:00:00,2026-03-15 11:15:00,53,Equipment Failure,Anna Nagar
OUT00136,FDR016,2026-03-15 10:00:00,2026-03-15 11:15:00,135,Weather,Anna Nagar
OUT00137,FDR018,2026-03-15 10:00:00,2026-03-15 11:15:00,172,Line Fault,Anna Nagar
OUT00138,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,87,Equipment Failure,Adyar
OUT00139,FDR026,2026-03-15 10:00:00,2026-03-15 11:15:00,123,Line Fault,Anna Nagar
OUT00140,FDR046,2026-03-15 10:00:00,2026-03-15 11:15:00,47,Weather,Anna Nagar
OUT00141,FDR009,2026-03-15 10:00:00,2026-03-15 11:15:00,98,Line Fault,Adyar
OUT00142,FDR048,2026-03-15 10:00:00,2026-03-15 11:15:00,19,Weather,Anna Nagar
OUT00143,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,30,Line Fault,Adyar
OUT00144,FDR007,2026-03-15 10:00:00,2026-03-15 11:15:00,98,Equipment Failure,Velachery
OUT00145,FDR011,2026-03-15 10:00:00,2026-03-15 11:15:00,160,Weather,Anna Nagar
OUT00146,FDR001,2026-03-15 10:00:00,2026-03-15 11:15:00,171,Weather,Adyar
OUT00147,FDR045,2026-03-15 10:00:00,2026-03-15 11:15:00,71,Equipment Failure,Velachery
OUT00148,FDR006,2026-03-15 10:00:00,2026-03-15 11:15:00,106,Equipment Failure,Velachery
OUT00149,FDR026,2026-03-15 10:00:00,2026-03-15 11:15:00,42,Equipment Failure,Adyar
OUT00150,FDR016,2026-03-15 10:00:00,2026-03-15 11:15:00,161,Weather,Velachery
OUT00151,FDR045,2026-03-15 10:00:00,2026-03-15 11:15:00,58,Equipment Failure,Adyar
OUT00152,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,105,Weather,Anna Nagar
OUT00153,FDR032,2026-03-15 10:00:00,2026-03-15 11:15:00,35,Equipment Failure,Adyar
OUT00154,FDR024,2026-03-15 10:00:00,2026-03-15 11:15:00,151,Line Fault,Anna Nagar
OUT00155,FDR046,2026-03-15 10:00:00,2026-03-15 11:15:00,66,Line Fault,Anna Nagar
OUT00156,FDR016,2026-03-15 10:00:00,2026-03-15 11:15:00,158,Line Fault,Adyar
OUT00157,FDR024,2026-03-15 10:00:00,2026-03-15 11:15:00,35,Equipment Failure,Velachery
OUT00158,FDR050,2026-03-15 10:00:00,2026-03-15 11:15:00,166,Equipment Failure,Anna Nagar
OUT00159,FDR030,2026-03-15 10:00:00,2026-03-15 11:15:00,172,Weather,Velachery
OUT00160,FDR019,2026-03-15 10:00:00,2026-03-15 11:15:00,135,Line Fault,Velachery
OUT00161,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,34,Line Fault,Velachery
OUT00162,FDR006,2026-03-15 10:00:00,2026-03-15 11:15:00,34,Line Fault,Adyar
OUT00163,FDR018,2026-03-15 10:00:00,2026-03-15 11:15:00,76,Weather,Velachery
OUT00164,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,159,Line Fault,Adyar
OUT00165,FDR036,2026-03-15 10:00:00,2026-03-15 11:15:00,168,Line Fault,Anna Nagar
OUT00166,FDR001,2026-03-15 10:00:00,2026-03-15 11:15:00,45,Weather,Adyar
OUT00167,FDR037,2026-03-15 10:00:00,2026-03-15 11:15:00,175,Weather,Adyar
OUT00168,FDR031,2026-03-15 10:00:00,2026-03-15 11:15:00,51,Line Fault,Adyar
OUT00169,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,73,Weather,Anna Nagar
OUT00170,FDR023,2026-03-15 10:00:00,2026-03-15 11:15:00,114,Weather,Adyar
OUT00171,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,106,Weather,Velachery
OUT00172,FDR028,2026-03-15 10:00:00,2026-03-15 11:15:00,47,Weather,Anna Nagar
OUT00173,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,134,Line Fault,Anna Nagar
OUT00174,FDR044,2026-03-15 10:00:00,2026-03-15 11:15:00,92,Weather,Velachery
OUT00175,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,61,Weather,Adyar
OUT00176,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,151,Line Fault,Anna Nagar
OUT00177,FDR033,2026-03-15 10:00:00,2026-03-15 11:15:00,124,Line Fault,Velachery
OUT00178,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,178,Weather,Velachery
OUT00179,FDR026,2026-03-15 10:00:00,2026-03-15 11:15:00,174,Equipment Failure,Adyar
OUT00180,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,130,Weather,Anna Nagar
OUT00181,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,73,Equipment Failure,Velachery
OUT00182,FDR036,2026-03-15 10:00:00,2026-03-15 11:15:00,125,Equipment Failure,Velachery
OUT00183,FDR003,2026-03-15 10:00:00,2026-03-15 11:15:00,111,Weather,Anna Nagar
OUT00184,FDR045,2026-03-15 10:00:00,2026-03-15 11:15:00,30,Line Fault,Velachery
OUT00185,FDR042,2026-03-15 10:00:00,2026-03-15 11:15:00,71,Weather,Anna Nagar
OUT00186,FDR032,2026-03-15 10:00:00,2026-03-15 11:15:00,92,Line Fault,Anna Nagar
OUT00187,FDR038,2026-03-15 10:00:00,2026-03-15 11:15:00,47,Line Fault,Anna Nagar
OUT00188,FDR006,2026-03-15 10:00:00,2026-03-15 11:15:00,150,Equipment Failure,Adyar
OUT00189,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,102,Weather,Velachery
OUT00190,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,101,Weather,Velachery
OUT00191,FDR041,2026-03-15 10:00:00,2026-03-15 11:15:00,142,Weather,Anna Nagar
OUT00192,FDR010,2026-03-15 10:00:00,2026-03-15 11:15:00,70,Equipment Failure,Velachery
OUT00193,FDR019,2026-03-15 10:00:00,2026-03-15 11:15:00,128,Line Fault,Adyar
OUT00194,FDR008,2026-03-15 10:00:00,2026-03-15 11:15:00,143,Line Fault,Velachery
OUT00195,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,83,Equipment Failure,Velachery
OUT00196,FDR002,2026-03-15 10:00:00,2026-03-15 11:15:00,99,Weather,Anna Nagar
OUT00197,FDR008,2026-03-15 10:00:00,2026-03-15 11:15:00,175,Equipment Failure,Adyar
OUT00198,FDR030,2026-03-15 10:00:00,2026-03-15 11:15:00,64,Line Fault,Adyar
OUT00199,FDR031,2026-03-15 10:00:00,2026-03-15 11:15:00,42,Line Fault,Adyar
OUT00200,FDR020,2026-03-15 10:00:00,2026-03-15 11:15:00,136,Line Fault,Adyar
OUT00201,FDR014,2026-03-15 10:00:00,2026-03-15 11:15:00,36,Line Fault,Adyar
OUT00202,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,176,Line Fault,Adyar
OUT00203,FDR033,2026-03-15 10:00:00,2026-03-15 11:15:00,176,Line Fault,Velachery
OUT00204,FDR033,2026-03-15 10:00:00,2026-03-15 11:15:00,112,Line Fault,Adyar
OUT00205,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,98,Equipment Failure,Adyar
OUT00206,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,167,Line Fault,Velachery
OUT00207,FDR025,2026-03-15 10:00:00,2026-03-15 11:15:00,34,Equipment Failure,Adyar
OUT00208,FDR029,2026-03-15 10:00:00,2026-03-15 11:15:00,161,Line Fault,Adyar
OUT00209,FDR021,2026-03-15 10:00:00,2026-03-15 11:15:00,147,Line Fault,Velachery
OUT00210,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,68,Equipment Failure,Adyar
OUT00211,FDR045,2026-03-15 10:00:00,2026-03-15 11:15:00,45,Weather,Anna Nagar
OUT00212,FDR048,2026-03-15 10:00:00,2026-03-15 11:15:00,59,Line Fault,Velachery
OUT00213,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,141,Line Fault,Velachery
OUT00214,FDR025,2026-03-15 10:00:00,2026-03-15 11:15:00,136,Weather,Velachery
OUT00215,FDR037,2026-03-15 10:00:00,2026-03-15 11:15:00,125,Equipment Failure,Velachery
OUT00216,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,143,Weather,Velachery
OUT00217,FDR041,2026-03-15 10:00:00,2026-03-15 11:15:00,21,Line Fault,Adyar
OUT00218,FDR032,2026-03-15 10:00:00,2026-03-15 11:15:00,123,Equipment Failure,Anna Nagar
OUT00219,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,82,Weather,Velachery
OUT00220,FDR046,2026-03-15 10:00:00,2026-03-15 11:15:00,34,Weather,Anna Nagar
OUT00221,FDR028,2026-03-15 10:00:00,2026-03-15 11:15:00,73,Weather,Anna Nagar
OUT00222,FDR030,2026-03-15 10:00:00,2026-03-15 11:15:00,47,Equipment Failure,Adyar
OUT00223,FDR041,2026-03-15 10:00:00,2026-03-15 11:15:00,148,Weather,Velachery
OUT00224,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,101,Line Fault,Anna Nagar
OUT00225,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,30,Line Fault,Velachery
OUT00226,FDR039,2026-03-15 10:00:00,2026-03-15 11:15:00,61,Weather,Velachery
OUT00227,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,160,Equipment Failure,Adyar
OUT00228,FDR006,2026-03-15 10:00:00,2026-03-15 11:15:00,106,Weather,Anna Nagar
OUT00229,FDR029,2026-03-15 10:00:00,2026-03-15 11:15:00,90,Line Fault,Adyar
OUT00230,FDR033,2026-03-15 10:00:00,2026-03-15 11:15:00,132,Line Fault,Anna Nagar
OUT00231,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,42,Line Fault,Velachery
OUT00232,FDR025,2026-03-15 10:00:00,2026-03-15 11:15:00,162,Line Fault,Anna Nagar
OUT00233,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,16,Line Fault,Adyar
OUT00234,FDR024,2026-03-15 10:00:00,2026-03-15 11:15:00,87,Line Fault,Adyar
OUT00235,FDR010,2026-03-15 10:00:00,2026-03-15 11:15:00,105,Equipment Failure,Velachery
OUT00236,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,98,Equipment Failure,Velachery
OUT00237,FDR047,2026-03-15 10:00:00,2026-03-15 11:15:00,25,Line Fault,Velachery
OUT00238,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,160,Weather,Anna Nagar
OUT00239,FDR006,2026-03-15 10:00:00,2026-03-15 11:15:00,159,Equipment Failure,Adyar
OUT00240,FDR002,2026-03-15 10:00:00,2026-03-15 11:15:00,109,Equipment Failure,Velachery
OUT00241,FDR046,2026-03-15 10:00:00,2026-03-15 11:15:00,58,Weather,Anna Nagar
OUT00242,FDR025,2026-03-15 10:00:00,2026-03-15 11:15:00,32,Weather,Anna Nagar
OUT00243,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,151,Line Fault,Velachery
OUT00244,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,159,Line Fault,Velachery
OUT00245,FDR029,2026-03-15 10:00:00,2026-03-15 11:15:00,163,Line Fault,Adyar
OUT00246,FDR011,2026-03-15 10:00:00,2026-03-15 11:15:00,103,Weather,Adyar
OUT00247,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,166,Line Fault,Adyar
OUT00248,FDR036,2026-03-15 10:00:00,2026-03-15 11:15:00,45,Weather,Anna Nagar
OUT00249,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,84,Equipment Failure,Anna Nagar
OUT00250,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,142,Weather,Anna Nagar
OUT00251,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,63,Equipment Failure,Velachery
OUT00252,FDR038,2026-03-15 10:00:00,2026-03-15 11:15:00,113,Equipment Failure,Anna Nagar
OUT00253,FDR019,2026-03-15 10:00:00,2026-03-15 11:15:00,126,Weather,Anna Nagar
OUT00254,FDR042,2026-03-15 10:00:00,2026-03-15 11:15:00,92,Weather,Anna Nagar
OUT00255,FDR002,2026-03-15 10:00:00,2026-03-15 11:15:00,172,Weather,Velachery
OUT00256,FDR015,2026-03-15 10:00:00,2026-03-15 11:15:00,165,Line Fault,Adyar
OUT00257,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,119,Weather,Velachery
OUT00258,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,91,Line Fault,Adyar
OUT00259,FDR037,2026-03-15 10:00:00,2026-03-15 11:15:00,65,Line Fault,Adyar
OUT00260,FDR047,2026-03-15 10:00:00,2026-03-15 11:15:00,55,Equipment Failure,Adyar
OUT00261,FDR003,2026-03-15 10:00:00,2026-03-15 11:15:00,54,Line Fault,Adyar
OUT00262,FDR050,2026-03-15 10:00:00,2026-03-15 11:15:00,157,Equipment Failure,Anna Nagar
OUT00263,FDR032,2026-03-15 10:00:00,2026-03-15 11:15:00,77,Equipment Failure,Adyar
OUT00264,FDR019,2026-03-15 10:00:00,2026-03-15 11:15:00,142,Line Fault,Adyar
OUT00265,FDR003,2026-03-15 10:00:00,2026-03-15 11:15:00,167,Weather,Anna Nagar
OUT00266,FDR030,2026-03-15 10:00:00,2026-03-15 11:15:00,75,Line Fault,Adyar
OUT00267,FDR001,2026-03-15 10:00:00,2026-03-15 11:15:00,159,Line Fault,Anna Nagar
OUT00268,FDR018,2026-03-15 10:00:00,2026-03-15 11:15:00,130,Equipment Failure,Velachery
OUT00269,FDR028,2026-03-15 10:00:00,2026-03-15 11:15:00,77,Line Fault,Adyar
OUT00270,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,32,Equipment Failure,Velachery
OUT00271,FDR036,2026-03-15 10:00:00,2026-03-15 11:15:00,105,Line Fault,Adyar
OUT00272,FDR004,2026-03-15 10:00:00,2026-03-15 11:15:00,108,Weather,Velachery
OUT00273,FDR032,2026-03-15 10:00:00,2026-03-15 11:15:00,158,Line Fault,Anna Nagar
OUT00274,FDR016,2026-03-15 10:00:00,2026-03-15 11:15:00,137,Weather,Adyar
