Load_ID,Transformer_ID,Date_Time,Load_KW,Voltage,Temperature,Utilization_Percentage
LD000052,TX0052,2026-04-01 12:00:00,373.67,401.0,79.2,75.91
LD000053,TX0080,2026-04-01 12:00:00,141.16,413.5,82.3,71.37
LD000054,TX0084,2026-04-01 12:00:00,356.54,403.7,62.5,92.67
LD000055,TX0018,2026-04-01 12:00:00,306.09,412.8,60.9,93.67
LD000056,TX0066,2026-04-01 12:00:00,53.6,429.1,55.9,75.54
LD000057,TX0081,2026-04-01 12:00:00,94.73,424.0,54.5,54.69
LD000058,TX0064,2026-04-01 12:00:00,240.76,413.8,62.7,63.78
LD000059,TX0079,2026-04-01 12:00:00,370.14,421.9,51.7,50.68
LD000060,TX0001,2026-04-01 12:00:00,247.42,412.8,84.8,51.46
LD000061,TX0069,2026-04-01 12:00:00,291.53,400.0,52.0,51.64
LD000062,TX0063,2026-04-01 12:00:00,282.59,424.0,75.1,40.46
LD000063,TX0076,2026-04-01 12:00:00,81.0,422.9,78.4,40.21
LD000064,TX0012,2026-04-01 12:00:00,338.58,427.5,83.4,84.08
LD000065,TX0009,2026-04-01 12:00:00,303.52,403.5,57.1,65.34
LD000066,TX0016,2026-04-01 12:00:00,155.24,424.4,80.1,41.63
LD000067,TX0041,2026-04-01 12:00:00,205.83,424.3,56.6,85.66
LD000068,TX0022,2026-04-01 12:00:00,212.78,410.9,65.2,65.26
LD000069,TX0014,2026-04-01 12:00:00,325.94,412.1,68.1,61.25
LD000070,TX0095,2026-04-01 12:00:00,382.8,412.6,65.5,41.58
LD000071,TX0049,2026-04-01 12:00:00,348.81,410.6,51.4,59.34
LD000072,TX0056,2026-04-01 12:00:00,212.33,417.4,84.6,40.87
LD000073,TX0058,2026-04-01 12:00:00,161.71,415.4,51.9,47.89
LD000074,TX0006,2026-04-01 12:00:00,123.18,417.3,47.6,67.71
LD000075,TX0003,2026-04-01 12:00:00,287.12,418.0,45.2,63.52
LD000076,TX0080,2026-04-01 12:00:00,190.33,420.8,74.9,43.81
LD000077,TX0090,2026-04-01 12:00:00,91.22,408.8,47.0,42.26
LD000078,TX0038,2026-04-01 12:00:00,57.71,405.7,54.0,75.55
LD000079,TX0032,2026-04-01 12:00:00,249.59,415.9,65.9,50.25
LD000080,TX0025,2026-04-01 12:00:00,354.43,412.9,53.8,91.43
LD000081,TX0006,2026-04-01 12:00:00,159.07,421.4,78.2,71.89
LD000082,TX0076,2026-04-01 12:00:00,116.12,417.1,64.0,48.13
LD000083,TX0034,2026-04-01 12:00:00,221.01,420.8,80.6,80.58
LD000084,TX0097,2026-04-01 12:00:00,310.96,405.8,80.5,82.75
LD000085,TX0037,2026-04-01 12:00:00,52.67,429.7,63.9,74.24
LD000086,TX0060,2026-04-01 12:00:00,355.59,406.9,53.7,79.7
LD000087,TX0077,2026-04-01 12:00:00,396.77,411.9,59.6,92.4
LD000088,TX0007,2026-04-01 12:00:00,200.7,421.6,80.4,50.68
LD000089,TX0100,2026-04-01 12:00:00,343.99,400.8,78.0,83.86
LD000090,TX0091,2026-04-01 12:00:00,190.6,424.8,54.6,62.91
LD000091,TX0058,2026-04-01 12:00:00,77.85,417.4,64.7,64.59
LD000092,TX0096,2026-04-01 12:00:00,220.84,426.4,74.4,74.34
LD000093,TX0020,2026-04-01 12:00:00,103.91,416.3,57.3,62.75
LD000094,TX0035,2026-04-01 12:00:00,108.88,400.8,73.1,42.72
LD000095,TX0077,2026-04-01 12:00:00,326.33,414.8,48.8,45.25
LD000096,TX0082,2026-04-01 12:00:00,77.06,426.9,66.2,80.69
LD000097,TX0019,2026-04-01 12:00:00,145.8,407.8,60.8,50.69
LD000098,TX0073,2026-04-01 12:00:00,170.42,409.6,47.5,59.29
LD000099,TX0011,2026-04-01 12:00:00,367.33,401.0,78.5,47.38
LD000100,TX0052,2026-04-01 12:00:00,259.61,425.5,56.4,66.13
LD000101,TX0057,2026-04-01 12:00:00,60.37,426.0,52.6,48.15
LD000102,TX0052,2026-04-01 12:00:00,141.19,404.9,68.1,92.33
LD000103,TX0013,2026-04-01 12:00:00,62.99,406.4,80.5,93.89
LD000104,TX0076,2026-04-01 12:00:00,304.94,416.0,78.0,47.63
LD000105,TX0026,2026-04-01 12:00:00,109.94,406.5,50.1,74.62
LD000106,TX0054,2026-04-01 12:00:00,120.28,406.4,61.6,87.48
LD000107,TX0093,2026-04-01 12:00:00,83.47,412.1,83.0,65.47
LD000108,TX0017,2026-04-01 12:00:00,287.88,417.0,52.4,40.8
LD000109,TX0007,2026-04-01 12:00:00,226.48,400.8,66.6,43.42
LD000110,TX0019,2026-04-01 12:00:00,135.33,426.4,45.2,75.92
LD000111,TX0006,2026-04-01 12:00:00,325.32,421.7,48.8,76.17
LD000112,TX0075,2026-04-01 12:00:00,249.56,402.6,55.7,75.65
LD000113,TX0042,2026-04-01 12:00:00,105.38,417.3,54.6,69.39
LD000114,TX0008,2026-04-01 12:00:00,46.65,404.0,67.4,91.67
LD000115,TX0080,2026-04-01 12:00:00,72.44,420.5,53.0,77.39
LD000116,TX0078,2026-04-01 12:00:00,160.44,405.8,69.9,40.23
LD000117,TX0030,2026-04-01 12:00:00,68.26,407.1,80.0,72.1
LD000118,TX0099,2026-04-01 12:00:00,127.73,425.3,77.6,78.52
LD000119,TX0040,2026-04-01 12:00:00,67.84,409.3,73.9,56.2
LD000120,TX0002,2026-04-01 12:00:00,66.81,425.1,49.4,81.24
LD000121,TX0068,2026-04-01 12:00:00,150.95,422.8,54.6,80.13
LD000122,TX0048,2026-04-01 12:00:00,224.89,409.6,58.3,52.94
LD000123,TX0027,2026-04-01 12:00:00,163.62,420.7,71.4,94.74
LD000124,TX0014,2026-04-01 12:00:00,77.0,400.2,57.1,65.73
LD000125,TX0050,2026-04-01 12:00:00,59.95,417.2,45.9,61.3
LD000126,TX0005,2026-04-01 12:00:00,110.52,424.8,76.0,55.94
LD000127,TX0083,2026-04-01 12:00:00,291.9,425.3,80.8,81.49
LD000128,TX0021,2026-04-01 12:00:00,280.6,418.6,72.8,43.71
LD000129,TX0048,2026-04-01 12:00:00,362.02,410.6,58.4,91.26
LD000130,TX0099,2026-04-01 12:00:00,368.46,429.2,70.8,60.43
LD000131,TX0032,2026-04-01 12:00:00,317.9,429.7,73.7,92.08
LD000132,TX0001,2026-04-01 12:00:00,46.13,400.7,51.4,77.15
LD000133,TX0063,2026-04-01 12:00:00,79.05,404.8,78.6,71.58
LD000134,TX0056,2026-04-01 12:00:00,306.34,429.3,74.6,88.2
LD000135,TX0011,2026-04-01 12:00:00,337.49,429.8,65.9,88.64
LD000136,TX0010,2026-04-01 12:00:00,260.24,428.3,50.2,77.85
LD000137,TX0081,2026-04-01 12:00:00,170.94,402.3,78.0,51.85
LD000138,TX0035,2026-04-01 12:00:00,106.28,419.7,59.1,44.22
LD000139,TX0031,2026-04-01 12:00:00,283.53,402.0,52.2,78.0
LD000140,TX0004,2026-04-01 12:00:00,188.55,414.2,84.7,77.27
LD000141,TX0073,2026-04-01 12:00:00,173.52,429.3,69.4,87.94
LD000142,TX0028,2026-04-01 12:00:00,209.16,426.0,76.7,76.94
LD000143,TX0090,2026-04-01 12:00:00,341.09,403.8,50.5,43.08
LD000144,TX0026,2026-04-01 12:00:00,271.37,416.3,69.7,79.93
LD000145,TX0054,2026-04-01 12:00:00,239.93,404.2,74.4,57.01
LD000146,TX0012,2026-04-01 12:00:00,155.06,404.5,56.0,44.66
LD000147,TX0036,2026-04-01 12:00:00,157.22,403.8,51.0,93.69
LD000148,TX0091,2026-04-01 12:00:00,395.74,402.9,75.3,93.06
LD000149,TX0016,2026-04-01 12:00:00,209.83,406.1,55.9,94.03
LD000150,TX0090,2026-04-01 12:00:00,123.39,427.5,68.6,50.75
LD000151,TX0069,2026-04-01 12:00:00,299.75,410.7,76.2,56.71
LD000152,TX0050,2026-04-01 12:00:00,310.22,425.6,49.8,94.17
LD000153,TX0097,2026-04-01 12:00:00,176.65,401.1,66.2,76.22
LD000154,TX0081,2026-04-01 12:00:00,323.31,417.6,75.6,60.42
LD000155,TX0054,2026-04-01 12:00:00,353.17,417.4,50.9,73.13
LD000156,TX0009,2026-04-01 12:00:00,338.68,427.6,47.4,87.91
LD000157,TX0080,2026-04-01 12:00:00,66.05,404.1,58.4,79.6
LD000158,TX0044,2026-04-01 12:00:00,325.25,422.7,78.3,56.49
LD000159,TX0014,2026-04-01 12:00:00,184.44,423.7,53.9,45.98
LD000160,TX0075,2026-04-01 12:00:00,78.4,415.7,55.4,74.39
LD000161,TX0053,2026-04-01 12:00:00,361.2,406.8,47.2,41.54
LD000162,TX0100,2026-04-01 12:00:00,216.16,410.3,55.3,41.99
LD000163,TX0048,2026-04-01 12:00:00,355.73,416.1,66.6,64.67
LD000164,TX0054,2026-04-01 12:00:00,255.5,414.7,77.5,80.15
LD000165,TX0003,2026-04-01 12:00:00,157.14,421.0,52.2,59.31
LD000166,TX0020,2026-04-01 12:00:00,248.06,407.7,56.5,40.52
LD000167,TX0095,2026-04-01 12:00:00,384.88,408.9,56.1,93.7
LD000168,TX0054,2026-04-01 12:00:00,263.97,427.1,67.9,55.71
LD000169,TX0004,2026-04-01 12:00:00,333.09,422.2,66.7,85.9
LD000170,TX0095,2026-04-01 12:00:00,351.33,410.7,59.8,73.26
LD000171,TX0043,2026-04-01 12:00:00,180.88,421.6,80.6,63.81
LD000172,TX0018,2026-04-01 12:00:00,96.38,400.8,75.4,61.92
LD000173,TX0066,2026-04-01 12:00:00,391.22,410.6,65.9,82.92
LD000174,TX0078,2026-04-01 12:00:00,359.88,404.3,69.0,63.3
LD000175,TX0089,2026-04-01 12:00:00,253.4,408.7,56.9,74.69
LD000176,TX0078,2026-04-01 12:00:00,380.56,416.9,84.0,75.37
LD000177,TX0070,2026-04-01 12:00:00,260.4,419.3,56.9,61.42
LD000178,TX0089,2026-04-01 12:00:00,263.95,428.9,70.2,43.81
LD000179,TX0040,2026-04-01 12:00:00,266.51,418.3,78.1,44.65
LD000180,TX0030,2026-04-01 12:00:00,337.11,408.9,84.3,87.11
LD000181,TX0023,2026-04-01 12:00:00,152.61,423.5,74.8,51.54
LD000182,TX0035,2026-04-01 12:00:00,151.71,411.7,47.1,81.97
LD000183,TX0044,2026-04-01 12:00:00,51.72,403.6,52.8,47.13
LD000184,TX0050,2026-04-01 12:00:00,331.18,418.2,70.3,91.91
LD000185,TX0024,2026-04-01 12:00:00,134.79,416.4,51.6,45.94
LD000186,TX0033,2026-04-01 12:00:00,118.92,400.9,67.2,40.51
LD000187,TX0073,2026-04-01 12:00:00,211.12,405.8,73.9,81.49
LD000188,TX0048,2026-04-01 12:00:00,348.95,404.3,74.8,88.62
LD000189,TX0088,2026-04-01 12:00:00,255.54,413.0,63.6,61.69
LD000190,TX0018,2026-04-01 12:00:00,343.33,429.8,48.4,41.57
LD000191,TX0093,2026-04-01 12:00:00,40.15,422.7,60.9,87.27
LD000192,TX0055,2026-04-01 12:00:00,108.17,409.3,54.9,58.74
LD000193,TX0010,2026-04-01 12:00:00,298.14,428.5,78.7,92.43
LD000194,TX0051,2026-04-01 12:00:00,142.16,415.9,82.1,83.73
LD000195,TX0091,2026-04-01 12:00:00,377.83,425.3,80.9,72.27
LD000196,TX0013,2026-04-01 12:00:00,311.91,429.5,63.7,78.69
LD000197,TX0014,2026-04-01 12:00:00,292.14,424.3,57.8,74.62
LD000198,TX0096,2026-04-01 12:00:00,45.92,424.8,77.7,79.39
LD000199,TX0095,2026-04-01 12:00:00,288.98,428.5,63.7,68.82
LD000200,TX0032,2026-04-01 12:00:00,228.91,406.5,74.8,72.48
LD000201,TX0026,2026-04-01 12:00:00,102.26,425.5,57.9,66.33
LD000202,TX0051,2026-04-01 12:00:00,251.27,405.2,81.2,60.69
LD000203,TX0036,2026-04-01 12:00:00,77.97,416.7,82.4,41.67
LD000204,TX0059,2026-04-01 12:00:00,215.09,403.2,53.7,45.9
LD000205,TX0021,2026-04-01 12:00:00,108.91,410.0,66.5,45.76
LD000206,TX0013,2026-04-01 12:00:00,43.82,404.4,72.5,66.41
LD000207,TX0016,2026-04-01 12:00:00,173.37,425.0,55.6,83.45
LD000208,TX0047,2026-04-01 12:00:00,172.69,418.3,51.9,77.89
LD000209,TX0053,2026-04-01 12:00:00,225.86,405.9,53.8,51.38
LD000210,TX0030,2026-04-01 12:00:00,386.23,425.7,78.5,81.82
LD000211,TX0080,2026-04-01 12:00:00,68.58,419.3,57.7,88.49
LD000212,TX0064,2026-04-01 12:00:00,120.62,402.3,65.0,61.18
LD000213,TX0026,2026-04-01 12:00:00,202.21,409.5,45.8,74.47
LD000214,TX0031,2026-04-01 12:00:00,165.75,404.0,54.9,71.38
LD000215,TX0022,2026-04-01 12:00:00,243.18,402.8,66.0,90.65
LD000216,TX0096,2026-04-01 12:00:00,329.42,420.4,58.9,85.01
LD000217,TX0044,2026-04-01 12:00:00,190.57,403.9,80.2,45.99
LD000218,TX0096,2026-04-01 12:00:00,151.31,404.4,66.6,94.93
LD000219,TX0082,2026-04-01 12:00:00,122.06,423.4,74.6,89.75
LD000220,TX0100,2026-04-01 12:00:00,323.66,427.7,69.6,44.55
LD000221,TX0026,2026-04-01 12:00:00,73.31,407.9,83.9,93.36
LD000222,TX0095,2026-04-01 12:00:00,214.86,428.5,63.9,42.51
LD000223,TX0065,2026-04-01 12:00:00,174.4,408.4,55.2,83.72
LD000224,TX0009,2026-04-01 12:00:00,267.76,410.9,49.5,74.01
LD000225,TX0098,2026-04-01 12:00:00,235.4,419.5,83.1,64.62
LD000226,TX0077,2026-04-01 12:00:00,164.81,422.2,47.5,46.71
LD000227,TX0050,2026-04-01 12:00:00,78.04,429.6,59.7,63.21
LD000228,TX0049,2026-04-01 12:00:00,89.08,423.1,47.3,57.14
LD000229,TX0008,2026-04-01 12:00:00,285.26,413.2,64.8,90.46
LD000230,TX0079,2026-04-01 12:00:00,217.49,403.2,49.0,66.63
LD000231,TX0076,2026-04-01 12:00:00,323.9,418.8,52.0,60.12
LD000232,TX0046,2026-04-01 12:00:00,373.08,425.3,74.5,66.66
LD000233,TX0060,2026-04-01 12:00:00,282.87,425.0,47.7,73.28
LD000234,TX0019,2026-04-01 12:00:00,368.36,421.5,70.7,82.45
LD000235,TX0015,2026-04-01 12:00:00,49.93,422.7,82.2,54.93
LD000236,TX0089,2026-04-01 12:00:00,233.47,403.9,78.3,55.32
LD000237,TX0027,2026-04-01 12:00:00,136.13,403.8,66.9,90.57
LD000238,TX0082,2026-04-01 12:00:00,110.82,417.3,45.8,63.96
LD000239,TX0069,2026-04-01 12:00:00,140.91,401.9,83.0,63.69
LD000240,TX0063,2026-04-01 12:00:00,335.01,405.5,53.2,82.8
LD000241,TX0044,2026-04-01 12:00:00,266.76,422.0,76.5,53.17
LD000242,TX0058,2026-04-01 12:00:00,319.76,400.7,57.2,49.96
LD000243,TX0039,2026-04-01 12:00:00,219.94,404.8,63.5,85.08
LD000244,TX0068,2026-04-01 12:00:00,136.2,423.7,61.6,62.99
LD000245,TX0018,2026-04-01 12:00:00,208.54,427.7,77.4,72.17
LD000246,TX0054,2026-04-01 12:00:00,117.33,407.5,57.2,44.08
LD000247,TX0048,2026-04-01 12:00:00,396.92,415.3,51.7,66.91
LD000248,TX0073,2026-04-01 12:00:00,318.31,426.5,45.1,57.63
LD000249,TX0029,2026-04-01 12:00:00,62.46,424.2,47.4,66.76
LD000250,TX0030,2026-04-01 12:00:00,399.26,425.6,68.8,75.84
LD000251,TX0069,2026-04-01 12:00:00,93.93,409.7,82.2,50.27
LD000252,TX0080,2026-04-01 12:00:00,276.93,408.8,59.5,65.49
LD000253,TX0025,2026-04-01 12:00:00,176.52,421.7,59.9,85.83
LD000254,TX0095,2026-04-01 12:00:00,235.71,415.6,59.7,58.03
LD000255,TX0090,2026-04-01 12:00:00,297.14,426.1,74.3,47.94
LD000256,TX0091,2026-04-01 12:00:00,148.84,422.3,79.4,66.41
LD000257,TX0027,2026-04-01 12:00:00,76.84,410.5,54.2,43.92
LD000258,TX0030,2026-04-01 12:00:00,276.52,424.8,58.8,47.34
LD000259,TX0040,2026-04-01 12:00:00,49.2,427.7,54.7,50.76
LD000260,TX0077,2026-04-01 12:00:00,120.97,403.5,74.3,90.04
LD000261,TX0032,2026-04-01 12:00:00,43.13,416.1,57.2,76.62
LD000262,TX0029,2026-04-01 12:00:00,304.7,417.1,59.1,44.38
LD000263,TX0100,2026-04-01 12:00:00,357.73,401.8,84.0,54.82
LD000264,TX0041,2026-04-01 12:00:00,156.89,400.4,68.4,93.29
LD000265,TX0096,2026-04-01 12:00:00,153.32,405.4,63.9,89.66
LD000266,TX0011,2026-04-01 12:00:00,75.08,425.0,55.3,40.75
LD000267,TX0044,2026-04-01 12:00:00,55.3,419.2,59.6,56.31
LD000268,TX0093,2026-04-01 12:00:00,124.83,405.4,52.5,79.07
LD000269,TX0034,2026-04-01 12:00:00,349.4,418.2,53.1,65.79
LD000270,TX0084,2026-04-01 12:00:00,256.7,418.8,80.9,80.08
LD000271,TX0079,2026-04-01 12:00:00,44.09,414.0,81.8,93.2
LD000272,TX0087,2026-04-01 12:00:00,259.41,415.8,81.0,51.27
LD000273,TX0034,2026-04-01 12:00:00,58.2,420.8,61.2,53.92
LD000274,TX0028,2026-04-01 12:00:00,190.65,427.0,68.3,88.34
LD000275,TX0060,2026-04-01 12:00:00,376.42,425.7,69.0,40.09
LD000276,TX0054,2026-04-01 12:00:00,265.9,421.3,65.2,64.71
LD000277,TX0027,2026-04-01 12:00:00,260.29,425.7,58.0,56.71
LD000278,TX0046,2026-04-01 12:00:00,282.86,418.8,58.7,87.45
LD000279,TX0086,2026-04-01 12:00:00,90.0,422.5,83.7,62.65
LD000280,TX0008,2026-04-01 12:00:00,73.61,426.5,78.1,66.57
LD000281,TX0029,2026-04-01 12:00:00,174.07,426.4,68.3,78.57
LD000282,TX0019,2026-04-01 12:00:00,108.24,424.4,48.6,63.52
LD000283,TX0032,2026-04-01 12:00:00,48.33,416.4,62.7,56.53
LD000284,TX0001,2026-04-01 12:00:00,162.47,405.7,62.1,59.79
LD000285,TX0067,2026-04-01 12:00:00,219.0,425.2,65.0,87.74
LD000286,TX0058,2026-04-01 12:00:00,58.13,422.8,59.1,59.84
LD000287,TX0026,2026-04-01 12:00:00,389.89,423.2,77.9,88.79
LD000288,TX0050,2026-04-01 12:00:00,315.46,403.8,65.4,50.34
LD000289,TX0007,2026-04-01 12:00:00,305.57,425.7,81.4,94.07
LD000290,TX0090,2026-04-01 12:00:00,356.85,423.9,82.7,88.75
LD000291,TX0091,2026-04-01 12:00:00,252.51,411.9,62.3,87.85
LD000292,TX0019,2026-04-01 12:00:00,197.75,414.4,55.0,76.92
LD000293,TX0068,2026-04-01 12:00:00,214.42,428.6,76.7,71.19
LD000294,TX0058,2026-04-01 12:00:00,110.94,401.3,80.2,41.71
LD000295,TX0027,2026-04-01 12:00:00,176.86,404.0,51.2,59.73
LD000296,TX0037,2026-04-01 12:00:00,327.16,424.5,66.5,42.03
LD000297,TX0078,2026-04-01 12:00:00,220.79,418.4,45.6,62.83
LD000298,TX0008,2026-04-01 12:00:00,106.04,401.6,55.3,49.64
LD000299,TX0001,2026-04-01 12:00:00,350.44,421.0,79.1,48.22
LD000300,TX0072,2026-04-01 12:00:00,274.02,411.6,69.0,84.36
LD000301,TX0093,2026-04-01 12:00:00,255.47,413.7,63.6,57.92
LD000302,TX0098,2026-04-01 12:00:00,388.95,406.8,60.7,63.08
LD000303,TX0071,2026-04-01 12:00:00,373.08,405.3,47.6,92.25
LD000304,TX0069,2026-04-01 12:00:00,92.75,412.8,65.7,50.25
LD000305,TX0084,2026-04-01 12:00:00,307.25,417.5,81.8,69.8
LD000306,TX0086,2026-04-01 12:00:00,365.3,406.5,70.8,93.55
LD000307,TX0004,2026-04-01 12:00:00,350.22,413.6,59.6,94.7
LD000308,TX0065,2026-04-01 12:00:00,360.03,417.6,73.7,43.71
LD000309,TX0032,2026-04-01 12:00:00,330.25,414.5,69.0,47.91
LD000310,TX0083,2026-04-01 12:00:00,395.98,414.0,60.5,91.28
LD000311,TX0023,2026-04-01 12:00:00,138.18,408.7,54.0,88.91
LD000312,TX0018,2026-04-01 12:00:00,97.29,403.4,59.6,52.63
LD000313,TX0006,2026-04-01 12:00:00,67.29,428.5,68.8,84.75
LD000314,TX0059,2026-04-01 12:00:00,336.51,427.1,70.0,75.4
LD000315,TX0062,2026-04-01 12:00:00,202.95,427.9,62.6,59.94
LD000316,TX0079,2026-04-01 12:00:00,132.91,416.4,64.5,48.51
LD000317,TX0012,2026-04-01 12:00:00,283.8,407.8,84.9,59.25
LD000318,TX0093,2026-04-01 12:00:00,40.3,409.9,74.4,72.24
LD000319,TX0046,2026-04-01 12:00:00,110.81,418.0,59.5,58.25
LD000320,TX0024,2026-04-01 12:00:00,176.22,421.4,67.5,82.21
LD000321,TX0013,2026-04-01 12:00:00,116.41,419.3,81.5,65.84
LD000322,TX0039,2026-04-01 12:00:00,163.33,405.3,60.7,53.2
LD000323,TX0094,2026-04-01 12:00:00,99.54,426.7,69.7,89.37
LD000324,TX0073,2026-04-01 12:00:00,41.43,418.4,49.3,58.81
LD000325,TX0002,2026-04-01 12:00:00,218.68,425.9,72.1,40.42
LD000326,TX0074,2026-04-01 12:00:00,65.38,418.5,65.4,83.68
LD000327,TX0011,2026-04-01 12:00:00,299.32,412.1,70.2,46.93
LD000328,TX0078,2026-04-01 12:00:00,62.11,402.6,47.1,91.57
LD000329,TX0071,2026-04-01 12:00:00,315.95,409.1,48.9,42.66
LD000330,TX0055,2026-04-01 12:00:00,62.17,405.7,63.0,62.07
LD000331,TX0024,2026-04-01 12:00:00,390.36,428.9,54.4,76.56
LD000332,TX0070,2026-04-01 12:00:00,170.16,412.0,71.6,45.24
LD000333,TX0008,2026-04-01 12:00:00,148.01,427.1,53.3,87.2
LD000334,TX0089,2026-04-01 12:00:00,149.95,409.9,52.3,86.08
LD000335,TX0050,2026-04-01 12:00:00,127.01,403.7,73.5,87.1
LD000336,TX0069,2026-04-01 12:00:00,103.8,424.3,48.4,56.12
LD000337,TX0025,2026-04-01 12:00:00,338.6,414.1,51.8,44.45
LD000338,TX0004,2026-04-01 12:00:00,206.07,425.5,49.7,84.49
LD000339,TX0067,2026-04-01 12:00:00,75.94,417.0,60.0,88.44
LD000340,TX0007,2026-04-01 12:00:00,334.79,403.0,48.8,57.94
LD000341,TX0044,2026-04-01 12:00:00,349.9,401.0,69.9,71.77
LD000342,TX0022,2026-04-01 12:00:00,372.46,404.8,82.4,82.26
LD000343,TX0088,2026-04-01 12:00:00,56.81,409.6,56.7,81.61
LD000344,TX0058,2026-04-01 12:00:00,210.71,412.3,46.5,49.09
LD000345,TX0082,2026-04-01 12:00:00,257.62,425.9,70.6,64.07
LD000346,TX0017,2026-04-01 12:00:00,343.35,426.4,58.3,40.88
LD000347,TX0008,2026-04-01 12:00:00,263.27,413.7,66.2,72.99
LD000348,TX0057,2026-04-01 12:00:00,204.8,419.7,48.3,48.81
LD000349,TX0079,2026-04-01 12:00:00,314.87,403.9,60.0,91.03
LD000350,TX0032,2026-04-01 12:00:00,206.79,428.6,79.4,55.53
LD000351,TX0042,2026-04-01 12:00:00,142.81,410.1,57.0,65.8
LD000352,TX0042,2026-04-01 12:00:00,250.14,419.4,71.3,54.05
LD000353,TX0040,2026-04-01 12:00:00,224.05,416.6,74.6,68.25
LD000354,TX0072,2026-04-01 12:00:00,215.63,423.0,56.5,58.25
LD000355,TX0092,2026-04-01 12:00:00,109.0,429.8,75.4,73.83
LD000356,TX0021,2026-04-01 12:00:00,344.36,413.1,66.1,88.73
